,R-squared
"('CSR Strategy Score',)",0.012
"('Community Score',)",0.018
"('ESG Controversies Score',)",0.000
"('Emissions Score',)",0.000
"('Environmental Innovation Score',)",0.005
"('Human Rights Score',)",0.024
"('Product Responsibility Score',)",0.005
"('Resource Use Score',)",0.020
"('Shareholders Score',)",0.007
"('Workforce Score',)",0.008
"('CSR Strategy Score', 'Community Score')",0.022
"('CSR Strategy Score', 'ESG Controversies Score')",0.013
"('CSR Strategy Score', 'Emissions Score')",0.019
"('CSR Strategy Score', 'Environmental Innovation Score')",0.024
"('CSR Strategy Score', 'Human Rights Score')",0.026
"('CSR Strategy Score', 'Product Responsibility Score')",0.014
"('CSR Strategy Score', 'Resource Use Score')",0.021
"('CSR Strategy Score', 'Shareholders Score')",0.025
"('CSR Strategy Score', 'Workforce Score')",0.013
"('Community Score', 'ESG Controversies Score')",0.018
"('Community Score', 'Emissions Score')",0.020
"('Community Score', 'Environmental Innovation Score')",0.026
"('Community Score', 'Human Rights Score')",0.030
"('Community Score', 'Product Responsibility Score')",0.018
"('Community Score', 'Resource Use Score')",0.027
"('Community Score', 'Shareholders Score')",0.026
"('Community Score', 'Workforce Score')",0.018
"('ESG Controversies Score', 'Emissions Score')",0.000
"('ESG Controversies Score', 'Environmental Innovation Score')",0.005
"('ESG Controversies Score', 'Human Rights Score')",0.024
"('ESG Controversies Score', 'Product Responsibility Score')",0.005
"('ESG Controversies Score', 'Resource Use Score')",0.021
"('ESG Controversies Score', 'Shareholders Score')",0.007
"('ESG Controversies Score', 'Workforce Score')",0.008
"('Emissions Score', 'Environmental Innovation Score')",0.006
"('Emissions Score', 'Human Rights Score')",0.031
"('Emissions Score', 'Product Responsibility Score')",0.005
"('Emissions Score', 'Resource Use Score')",0.033
"('Emissions Score', 'Shareholders Score')",0.007
"('Emissions Score', 'Workforce Score')",0.012
"('Environmental Innovation Score', 'Human Rights Score')",0.035
"('Environmental Innovation Score', 'Product Responsibility Score')",0.013
"('Environmental Innovation Score', 'Resource Use Score')",0.034
"('Environmental Innovation Score', 'Shareholders Score')",0.010
"('Environmental Innovation Score', 'Workforce Score')",0.017
"('Human Rights Score', 'Product Responsibility Score')",0.024
"('Human Rights Score', 'Resource Use Score')",0.030
"('Human Rights Score', 'Shareholders Score')",0.031
"('Human Rights Score', 'Workforce Score')",0.024
"('Product Responsibility Score', 'Resource Use Score')",0.020
"('Product Responsibility Score', 'Shareholders Score')",0.011
"('Product Responsibility Score', 'Workforce Score')",0.009
"('Resource Use Score', 'Shareholders Score')",0.027
"('Resource Use Score', 'Workforce Score')",0.020
"('Shareholders Score', 'Workforce Score')",0.015
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score')",0.023
"('CSR Strategy Score', 'Community Score', 'Emissions Score')",0.034
"('CSR Strategy Score', 'Community Score', 'Environmental Innovation Score')",0.035
"('CSR Strategy Score', 'Community Score', 'Human Rights Score')",0.031
"('CSR Strategy Score', 'Community Score', 'Product Responsibility Score')",0.022
"('CSR Strategy Score', 'Community Score', 'Resource Use Score')",0.027
"('CSR Strategy Score', 'Community Score', 'Shareholders Score')",0.035
"('CSR Strategy Score', 'Community Score', 'Workforce Score')",0.022
"('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score')",0.019
"('CSR Strategy Score', 'ESG Controversies Score', 'Environmental Innovation Score')",0.025
"('CSR Strategy Score', 'ESG Controversies Score', 'Human Rights Score')",0.027
"('CSR Strategy Score', 'ESG Controversies Score', 'Product Responsibility Score')",0.014
"('CSR Strategy Score', 'ESG Controversies Score', 'Resource Use Score')",0.022
"('CSR Strategy Score', 'ESG Controversies Score', 'Shareholders Score')",0.025
"('CSR Strategy Score', 'ESG Controversies Score', 'Workforce Score')",0.014
"('CSR Strategy Score', 'Emissions Score', 'Environmental Innovation Score')",0.027
"('CSR Strategy Score', 'Emissions Score', 'Human Rights Score')",0.043
"('CSR Strategy Score', 'Emissions Score', 'Product Responsibility Score')",0.023
"('CSR Strategy Score', 'Emissions Score', 'Resource Use Score')",0.039
"('CSR Strategy Score', 'Emissions Score', 'Shareholders Score')",0.032
"('CSR Strategy Score', 'Emissions Score', 'Workforce Score')",0.025
"('CSR Strategy Score', 'Environmental Innovation Score', 'Human Rights Score')",0.041
"('CSR Strategy Score', 'Environmental Innovation Score', 'Product Responsibility Score')",0.027
"('CSR Strategy Score', 'Environmental Innovation Score', 'Resource Use Score')",0.036
"('CSR Strategy Score', 'Environmental Innovation Score', 'Shareholders Score')",0.035
"('CSR Strategy Score', 'Environmental Innovation Score', 'Workforce Score')",0.026
"('CSR Strategy Score', 'Human Rights Score', 'Product Responsibility Score')",0.027
"('CSR Strategy Score', 'Human Rights Score', 'Resource Use Score')",0.030
"('CSR Strategy Score', 'Human Rights Score', 'Shareholders Score')",0.036
"('CSR Strategy Score', 'Human Rights Score', 'Workforce Score')",0.027
"('CSR Strategy Score', 'Product Responsibility Score', 'Resource Use Score')",0.021
"('CSR Strategy Score', 'Product Responsibility Score', 'Shareholders Score')",0.026
"('CSR Strategy Score', 'Product Responsibility Score', 'Workforce Score')",0.014
"('CSR Strategy Score', 'Resource Use Score', 'Shareholders Score')",0.031
"('CSR Strategy Score', 'Resource Use Score', 'Workforce Score')",0.021
"('CSR Strategy Score', 'Shareholders Score', 'Workforce Score')",0.026
"('Community Score', 'ESG Controversies Score', 'Emissions Score')",0.020
"('Community Score', 'ESG Controversies Score', 'Environmental Innovation Score')",0.026
"('Community Score', 'ESG Controversies Score', 'Human Rights Score')",0.030
