,"('CSR Strategy Score', 'Community Score')","('CSR Strategy Score', 'ESG Controversies Score')","('CSR Strategy Score', 'Emissions Score')","('CSR Strategy Score', 'Environmental Innovation Score')","('CSR Strategy Score', 'Human Rights Score')","('CSR Strategy Score', 'Product Responsibility Score')","('CSR Strategy Score', 'Resource Use Score')","('CSR Strategy Score', 'Shareholders Score')","('CSR Strategy Score', 'Workforce Score')","('Community Score', 'ESG Controversies Score')","('Community Score', 'Emissions Score')","('Community Score', 'Environmental Innovation Score')","('Community Score', 'Human Rights Score')","('Community Score', 'Product Responsibility Score')","('Community Score', 'Resource Use Score')","('Community Score', 'Shareholders Score')","('Community Score', 'Workforce Score')","('ESG Controversies Score', 'Emissions Score')","('ESG Controversies Score', 'Environmental Innovation Score')","('ESG Controversies Score', 'Human Rights Score')","('ESG Controversies Score', 'Product Responsibility Score')","('ESG Controversies Score', 'Resource Use Score')","('ESG Controversies Score', 'Shareholders Score')","('ESG Controversies Score', 'Workforce Score')","('Emissions Score', 'Environmental Innovation Score')","('Emissions Score', 'Human Rights Score')","('Emissions Score', 'Product Responsibility Score')","('Emissions Score', 'Resource Use Score')","('Emissions Score', 'Shareholders Score')","('Emissions Score', 'Workforce Score')","('Environmental Innovation Score', 'Human Rights Score')","('Environmental Innovation Score', 'Product Responsibility Score')","('Environmental Innovation Score', 'Resource Use Score')","('Environmental Innovation Score', 'Shareholders Score')","('Environmental Innovation Score', 'Workforce Score')","('Human Rights Score', 'Product Responsibility Score')","('Human Rights Score', 'Resource Use Score')","('Human Rights Score', 'Shareholders Score')","('Human Rights Score', 'Workforce Score')","('Product Responsibility Score', 'Resource Use Score')","('Product Responsibility Score', 'Shareholders Score')","('Product Responsibility Score', 'Workforce Score')","('Resource Use Score', 'Shareholders Score')","('Resource Use Score', 'Workforce Score')","('Shareholders Score', 'Workforce Score')"
CSR Strategy Score,-11.1550707,-17.2494075,-26.46971952,-21.80260463,-8.449394089,-15.09798771,-5.774045092,-21.28208158,-13.72832983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Score,-19.21677813,,,,,,,,,-23.9172949,-27.98448546,-26.4275757,-14.95786621,-22.63739039,-16.04550529,-25.17843897,-21.32473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Controversies Score,,-6.018877636,,,,,,,,-2.149346604,,,,,,,,-0.176826243,-1.126890422,-7.343437732,-1.053743348,-9.461815925,4.023818029,-5.188150262,,,,,,,,,,,,,,,,,,,,,
Emissions Score,,,16.55716595,,,,,,,,9.178591326,,,,,,,-0.971782861,,,,,,,-5.169145432,15.66733852,4.317642693,23.41193062,-3.173614171,14.51295226,,,,,,,,,,,,,,,
Environmental Innovation Score,,,,16.09727085,,,,,,,,13.27314107,,,,,,,10.0091232,,,,,,11.49556337,,,,,,15.285077,13.60291066,17.34024173,8.225782162,14.97762446,,,,,,,,,,
Human Rights Score,,,,,-21.3156236,,,,,,,,-19.59172204,,,,,,,-25.61923192,,,,,,-33.10104594,,,,,-28.71338456,,,,,-24.06641545,-18.23294551,-24.97188506,-23.96277649,,,,,,
Product Responsibility Score,,,,,,-5.950543622,,,,,,,,-2.63915637,,,,,,,-10.74701279,,,,,,-12.46878179,,,,,-14.72976304,,,,-3.258863285,,,,-2.131253205,-9.962591112,-6.690453844,,,
Resource Use Score,,,,,,,-19.47207841,,,,,,,,-17.31941475,,,,,,,-24.12802983,,,,,,-38.42944321,,,,,-28.91382455,,,,-14.55500189,,,-22.40169405,,,-23.14754425,-23.89259174,
Shareholders Score,,,,,,,,-17.50560635,,,,,,,,-13.93660178,,,,,,,-12.54188412,,,,,,-12.78136258,,,,,-10.9202312,,,,-12.03566227,,,-11.75132678,,-12.11921048,,-13.01991098
Workforce Score,,,,,,,,,-6.425830453,,,,,,,,-4.9248869,,,,,,,-15.42498881,,,,,,-25.12222472,,,,,-20.23010132,,,,-2.534567115,,,-12.38521169,,1.030158509,-15.7512766
