,"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score')","('CSR Strategy Score', 'Community Score', 'Emissions Score')","('CSR Strategy Score', 'Community Score', 'Environmental Innovation Score')","('CSR Strategy Score', 'Community Score', 'Human Rights Score')","('CSR Strategy Score', 'Community Score', 'Product Responsibility Score')","('CSR Strategy Score', 'Community Score', 'Resource Use Score')","('CSR Strategy Score', 'Community Score', 'Shareholders Score')","('CSR Strategy Score', 'Community Score', 'Workforce Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Environmental Innovation Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Human Rights Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Product Responsibility Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Resource Use Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Shareholders Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Workforce Score')","('CSR Strategy Score', 'Emissions Score', 'Environmental Innovation Score')","('CSR Strategy Score', 'Emissions Score', 'Human Rights Score')","('CSR Strategy Score', 'Emissions Score', 'Product Responsibility Score')","('CSR Strategy Score', 'Emissions Score', 'Resource Use Score')","('CSR Strategy Score', 'Emissions Score', 'Shareholders Score')","('CSR Strategy Score', 'Emissions Score', 'Workforce Score')","('CSR Strategy Score', 'Environmental Innovation Score', 'Human Rights Score')","('CSR Strategy Score', 'Environmental Innovation Score', 'Product Responsibility Score')","('CSR Strategy Score', 'Environmental Innovation Score', 'Resource Use Score')","('CSR Strategy Score', 'Environmental Innovation Score', 'Shareholders Score')","('CSR Strategy Score', 'Environmental Innovation Score', 'Workforce Score')","('CSR Strategy Score', 'Human Rights Score', 'Product Responsibility Score')","('CSR Strategy Score', 'Human Rights Score', 'Resource Use Score')","('CSR Strategy Score', 'Human Rights Score', 'Shareholders Score')","('CSR Strategy Score', 'Human Rights Score', 'Workforce Score')","('CSR Strategy Score', 'Product Responsibility Score', 'Resource Use Score')","('CSR Strategy Score', 'Product Responsibility Score', 'Shareholders Score')","('CSR Strategy Score', 'Product Responsibility Score', 'Workforce Score')","('CSR Strategy Score', 'Resource Use Score', 'Shareholders Score')","('CSR Strategy Score', 'Resource Use Score', 'Workforce Score')","('CSR Strategy Score', 'Shareholders Score', 'Workforce Score')","('Community Score', 'ESG Controversies Score', 'Emissions Score')","('Community Score', 'ESG Controversies Score', 'Environmental Innovation Score')","('Community Score', 'ESG Controversies Score', 'Human Rights Score')","('Community Score', 'ESG Controversies Score', 'Product Responsibility Score')","('Community Score', 'ESG Controversies Score', 'Resource Use Score')","('Community Score', 'ESG Controversies Score', 'Shareholders Score')","('Community Score', 'ESG Controversies Score', 'Workforce Score')","('Community Score', 'Emissions Score', 'Environmental Innovation Score')","('Community Score', 'Emissions Score', 'Human Rights Score')","('Community Score', 'Emissions Score', 'Product Responsibility Score')","('Community Score', 'Emissions Score', 'Resource Use Score')","('Community Score', 'Emissions Score', 'Shareholders Score')","('Community Score', 'Emissions Score', 'Workforce Score')","('Community Score', 'Environmental Innovation Score', 'Human Rights Score')","('Community Score', 'Environmental Innovation Score', 'Product Responsibility Score')","('Community Score', 'Environmental Innovation Score', 'Resource Use Score')","('Community Score', 'Environmental Innovation Score', 'Shareholders Score')","('Community Score', 'Environmental Innovation Score', 'Workforce Score')","('Community Score', 'Human Rights Score', 'Product Responsibility Score')","('Community Score', 'Human Rights Score', 'Resource Use Score')","('Community Score', 'Human Rights Score', 'Shareholders Score')","('Community Score', 'Human Rights Score', 'Workforce Score')","('Community Score', 'Product Responsibility Score', 'Resource Use Score')","('Community Score', 'Product Responsibility Score', 'Shareholders Score')","('Community Score', 'Product Responsibility Score', 'Workforce Score')","('Community Score', 'Resource Use Score', 'Shareholders Score')","('Community Score', 'Resource Use Score', 'Workforce Score')","('Community Score', 'Shareholders Score', 'Workforce Score')","('ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score')","('ESG Controversies Score', 'Emissions Score', 'Human Rights Score')","('ESG Controversies Score', 'Emissions Score', 'Product Responsibility Score')","('ESG Controversies Score', 'Emissions Score', 'Resource Use Score')","('ESG Controversies Score', 'Emissions Score', 'Shareholders Score')","('ESG Controversies Score', 'Emissions Score', 'Workforce Score')","('ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score')","('ESG Controversies Score', 'Environmental Innovation Score', 'Product Responsibility Score')","('ESG Controversies Score', 'Environmental Innovation Score', 'Resource Use Score')","('ESG Controversies Score', 'Environmental Innovation Score', 'Shareholders Score')","('ESG Controversies Score', 'Environmental Innovation Score', 'Workforce Score')","('ESG Controversies Score', 'Human Rights Score', 'Product Responsibility Score')","('ESG Controversies Score', 'Human Rights Score', 'Resource Use Score')","('ESG Controversies Score', 'Human Rights Score', 'Shareholders Score')","('ESG Controversies Score', 'Human Rights Score', 'Workforce Score')","('ESG Controversies Score', 'Product Responsibility Score', 'Resource Use Score')","('ESG Controversies Score', 'Product Responsibility Score', 'Shareholders Score')","('ESG Controversies Score', 'Product Responsibility Score', 'Workforce Score')","('ESG Controversies Score', 'Resource Use Score', 'Shareholders Score')","('ESG Controversies Score', 'Resource Use Score', 'Workforce Score')","('ESG Controversies Score', 'Shareholders Score', 'Workforce Score')","('Emissions Score', 'Environmental Innovation Score', 'Human Rights Score')","('Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score')","('Emissions Score', 'Environmental Innovation Score', 'Resource Use Score')","('Emissions Score', 'Environmental Innovation Score', 'Shareholders Score')","('Emissions Score', 'Environmental Innovation Score', 'Workforce Score')","('Emissions Score', 'Human Rights Score', 'Product Responsibility Score')","('Emissions Score', 'Human Rights Score', 'Resource Use Score')","('Emissions Score', 'Human Rights Score', 'Shareholders Score')","('Emissions Score', 'Human Rights Score', 'Workforce Score')","('Emissions Score', 'Product Responsibility Score', 'Resource Use Score')","('Emissions Score', 'Product Responsibility Score', 'Shareholders Score')","('Emissions Score', 'Product Responsibility Score', 'Workforce Score')","('Emissions Score', 'Resource Use Score', 'Shareholders Score')","('Emissions Score', 'Resource Use Score', 'Workforce Score')","('Emissions Score', 'Shareholders Score', 'Workforce Score')","('Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score')","('Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score')","('Environmental Innovation Score', 'Human Rights Score', 'Shareholders Score')","('Environmental Innovation Score', 'Human Rights Score', 'Workforce Score')","('Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score')","('Environmental Innovation Score', 'Product Responsibility Score', 'Shareholders Score')","('Environmental Innovation Score', 'Product Responsibility Score', 'Workforce Score')","('Environmental Innovation Score', 'Resource Use Score', 'Shareholders Score')","('Environmental Innovation Score', 'Resource Use Score', 'Workforce Score')","('Environmental Innovation Score', 'Shareholders Score', 'Workforce Score')","('Human Rights Score', 'Product Responsibility Score', 'Resource Use Score')","('Human Rights Score', 'Product Responsibility Score', 'Shareholders Score')","('Human Rights Score', 'Product Responsibility Score', 'Workforce Score')","('Human Rights Score', 'Resource Use Score', 'Shareholders Score')","('Human Rights Score', 'Resource Use Score', 'Workforce Score')","('Human Rights Score', 'Shareholders Score', 'Workforce Score')","('Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')","('Product Responsibility Score', 'Resource Use Score', 'Workforce Score')","('Product Responsibility Score', 'Shareholders Score', 'Workforce Score')","('Resource Use Score', 'Shareholders Score', 'Workforce Score')"
CSR Strategy Score,-11.57246171,-23.08492849,-16.04919496,-6.00733233,-11.0818625,-3.680243599,-15.63731991,-11.80020977,-26.52533693,-22.67653267,-8.959037019,-15.52166473,-6.080530059,-21.41876533,-14.01797822,-28.69223087,-21.60613852,-25.6817214,-16.09918051,-30.82079942,-22.70033005,-13.20322198,-19.4955281,-9.452398354,-25.40081685,-17.19617774,-8.12130233,-2.315833204,-13.29863267,-9.246307812,-5.614768074,-20.23289158,-12.98253085,-12.06360016,-6.444909833,-19.26813671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Score,-19.2038069,-24.71111533,-20.47715561,-13.43537013,-19.0541075,-15.51877515,-18.99495495,-19.82998863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.01182634,-26.56685848,-14.93496855,-22.68118667,-15.90589334,-25.13494722,-21.23586012,-28.39960964,-20.33759148,-26.07956022,-21.34189836,-28.24562042,-23.39029664,-16.66261406,-23.63303236,-17.05158804,-27.21776368,-21.58099208,-15.2820829,-11.66143437,-16.55491206,-16.20506865,-16.75954181,-24.70332862,-20.67165147,-17.63395975,-18.34176249,-22.50257067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Controversies Score,-5.879269679,,,,,,,,-2.299590047,-10.2610229,-9.437853027,-6.112634551,-10.08197051,-2.284997371,-7.270527794,,,,,,,,,,,,,,,,,,,,,,1.478683718,-4.248459954,-7.195883226,-2.3496249,-8.649859242,1.961458295,-3.746267902,,,,,,,,,,,,,,,,,,,,,,-3.789031511,-2.903484672,0.633805862,-5.335117883,2.868680906,-2.429852119,-10.64416176,-3.427232034,-14.48732763,2.465959109,-9.343251169,-7.423067354,-11.46314479,-3.659094006,-8.0245536,-9.369835469,2.637817676,-5.083373062,-5.721925267,-9.393594408,-1.444836588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Score,,23.26602517,,,,,,,16.37493224,,,,,,,12.79098202,28.27768308,20.67970622,30.08134162,16.410321,25.61859332,,,,,,,,,,,,,,,,9.329332365,,,,,,,4.898882027,20.47481615,10.9625666,28.00433029,6.997487673,17.47720778,,,,,,,,,,,,,,,,-5.610893772,15.42517749,4.382256267,23.06859733,-2.92183423,14.33782803,,,,,,,,,,,,,,,,11.34457912,0.368711845,19.43396516,-6.656401611,10.93820446,18.57082986,32.41820946,13.23984846,24.08560163,25.31029415,1.532829225,17.86824839,20.66801598,27.95337602,11.71401755,,,,,,,,,,,,,,,,,,,,
Environmental Innovation Score,,,17.03364485,,,,,,,16.5893867,,,,,,14.28440001,,,,,,18.00376242,17.86598351,18.5044343,14.5263655,17.36577762,,,,,,,,,,,,13.39275137,,,,,,12.08429683,,,,,,16.26200071,14.54006563,17.90002078,11.42098163,15.17220826,,,,,,,,,,,11.71611657,,,,,,15.68847173,13.7149654,18.08375771,8.141954127,15.4463821,,,,,,,,,,,12.92668525,13.52608969,14.62700995,10.06844943,13.53994702,,,,,,,,,,,16.71678376,18.72568024,13.63185528,16.55847293,18.23826638,11.78481787,16.64621289,15.66219785,17.63825038,13.22316457,,,,,,,,,,
Human Rights Score,,,,-17.44069256,,,,,,,-21.70811162,,,,,,-29.74745654,,,,,-23.38228355,,,,,-20.91659255,-17.8140973,-18.9163609,-21.96416937,,,,,,,,,-20.07508971,,,,,,-28.00908568,,,,,-22.76750394,,,,,-19.75323403,-15.29780842,-18.82184761,-20.70472624,,,,,,,,-33.16952488,,,,,-29.51028044,,,,,-24.54278565,-18.57590211,-25.2161662,-24.22963008,,,,,,,-33.92962579,,,,,-31.83326605,-26.68029167,-31.73123465,-29.824653,,,,,,,-26.62533143,-20.16728967,-28.19536376,-25.5247866,,,,,,,-18.34116431,-24.16728401,-23.39062661,-18.09931801,-19.99215512,-23.29852695,,,,
Product Responsibility Score,,,,,-0.417400524,,,,,,,-5.972243445,,,,,,-10.98198435,,,,,-9.827440497,,,,-1.669778694,,,,-1.708207802,-3.228078078,-5.005883705,,,,,,,-2.683311758,,,,,,-5.85006015,,,,,-6.569532505,,,,0.859278656,,,,2.136138,-1.008832692,-1.873770995,,,,,,-12.47882123,,,,,-14.85000304,,,,-3.300064675,,,,-2.028946299,-9.885674934,-6.671807442,,,,,-14.85644244,,,,-8.371817064,,,,-6.836615105,-10.60016286,-10.31438992,,,,-7.392922697,,,,-5.808617195,-13.57848625,-10.12573551,,,,0.624661781,-2.460070729,-2.913024531,,,,-1.266530274,-2.295446082,-5.478113602,
Resource Use Score,,,,,,-15.09234062,,,,,,,-20.18159337,,,,,,-32.14991128,,,,,-23.07054075,,,,-13.23087855,,,-18.87870732,,,-15.17561084,-20.82861734,,,,,,-18.15303186,,,,,,-33.48396476,,,,,-22.76922799,,,,-11.63162029,,,-17.92761103,,,-16.59246,-21.19920536,,,,,-38.68938712,,,,,-30.46513506,,,,-15.42711705,,,-23.29040253,,,-23.66807397,-24.48094737,,,,-40.61250469,,,,-31.50320512,,,-36.86401697,,,-36.56024024,-34.49317879,,,-19.7218233,,,-26.831743,,,-28.27059614,-27.25825181,,-14.75858353,,,-14.49495648,-18.33602767,,-22.63055887,-23.2142046,,-22.94704874
Shareholders Score,,,,,,,-17.35133677,,,,,,,-17.41113024,,,,,,-17.42920459,,,,,-16.04346192,,,,-15.34617825,,,-17.06656936,,-15.12849176,,-17.1937141,,,,,,-14.04350912,,,,,,-13.10967337,,,,,-12.12870506,,,,-13.16991339,,,-13.84877308,,-13.3095963,,-13.99710974,,,,,-12.90495532,,,,,-11.07238598,,,,-11.82825706,,,-11.90322706,,-11.79473669,,-12.94457795,,,,-11.5816969,,,,-10.02159583,,,-11.49077122,,-8.979455228,,-11.66749299,,,-9.684908941,,,-9.54521568,,-9.416296107,,-10.97671902,,-11.90508136,,-11.98929396,,-12.2158213,-12.05173253,,-12.61346797,-12.13578492
Workforce Score,,,,,,,,1.713655066,,,,,,,-6.885887928,,,,,,-18.76744274,,,,,-10.36904179,,,,2.18180296,,,-4.957351505,,2.988804606,-4.013019512,,,,,,,-5.296660731,,,,,,-16.1801852,,,,,-10.13457127,,,,3.406954731,,,-4.509087122,,7.865021563,-5.212134672,,,,,,-25.21368487,,,,,-21.21761131,,,,-3.10279647,,,-12.84008308,,0.596858442,-15.87398622,,,,,-27.3780365,,,,-16.34476464,,,-23.48787993,,-11.4296581,-23.86575716,,,,-7.541493985,,,-16.90723663,,-2.912985125,-20.2739995,,,-1.706852492,,7.682829774,-3.614044541,,1.462083375,-13.61197975,-0.332972953
