,"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')","('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')","('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')","('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')","('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')"
CSR Strategy Score,-15.30668864,-25.41779722,-21.12002285,-18.37585681,-15.007159,-24.59066865,-20.63900881,-16.56966607,-27.1837937,-20.3200243,-17.28103512,-13.09466659,-23.16084582,-17.41583819,-19.38301366,-10.00465202,-6.870520345,-16.54551896,-11.46573121,-13.85759684,-10.15010829,-18.40301904,-15.00424572,-24.37142374,-18.38476949,-20.31735166,-17.45014134,-11.52407267,-18.84897299,-15.63053788,-24.79336352,-18.41882815,-20.65620021,-17.43867026,-11.54848087,-18.44500486,,,,,,,,,
Community Score,-13.52720173,-17.28263438,-14.03897008,-15.50778942,-14.3746753,-17.0876621,-19.60409374,-17.31514723,-20.42426899,-19.79040281,-16.12734522,-14.79095804,-17.48560749,-16.34097218,-20.47952846,-12.83639125,-13.21751054,-15.89030352,-14.62461967,-18.41072037,-17.22150731,-15.0532794,-13.59297125,-16.02132606,-15.77386841,-19.03087852,-16.5401632,-15.67604601,,,,,,,,,-15.31142085,-13.7260192,-16.43944684,-15.48741808,-19.16085499,-16.46421797,-15.07347752,-15.0608521,
ESG Controversies Score,-10.9856074,-4.456803143,-8.648485699,-8.184263251,-11.24110595,-5.098362757,-5.961407152,-9.66621737,-2.787119906,-6.248244573,-2.308999144,-5.294274837,0.281754251,-2.197309856,-0.481941334,-13.05118226,-15.91111553,-9.325942089,-11.89388645,-9.871626081,-5.319085167,,,,,,,,-9.916344977,-12.53290589,-7.188468751,-10.39620557,-8.605083583,-4.038644064,-13.88857042,,-8.440709437,-10.45708208,-4.518499323,-8.668048325,-6.630722996,-2.814509729,-11.79448713,,-10.66288163
Emissions Score,36.10722345,27.75602146,31.64373514,34.06220934,35.79126891,28.96211489,29.17130514,32.18390657,24.61305992,29.54828372,37.26531184,39.4635146,32.1924513,36.89984649,32.33279952,,,,,,,35.13475691,37.35677913,30.33452226,34.6794553,30.66515173,36.90891021,,33.58450357,36.66818327,30.06934712,33.79579417,30.0298408,37.27174431,,35.67500154,28.9793764,31.63364896,20.653118,29.35084503,24.52017936,32.10417364,,30.40250007,30.25535538
Environmental Innovation Score,17.41277915,14.61573369,16.93069467,15.61296971,16.98884064,14.43746712,15.29765091,17.29225366,14.39205083,15.04004273,,,,,,18.45317222,19.81980627,16.85738037,17.93840201,17.12188593,,15.38942109,16.78095137,14.67135384,15.03879027,15.04472922,,16.86135796,16.70086356,18.13981122,15.98355842,16.16814972,16.63777113,,18.6686072,16.19767963,15.30204479,16.47997717,13.81965859,15.09043115,14.86786226,,17.20129641,14.83791244,16.39435178
Human Rights Score,-22.86798248,-23.56656919,-24.8763462,-21.6363528,-22.93077063,-23.11512687,,,,,-20.75479904,-22.44595778,-22.26103242,-20.86556888,,-15.6183474,-18.18651932,-18.35067202,-16.77570367,,-15.89725526,-21.29285995,-22.48365759,-22.76916714,-21.34580166,,-20.82095716,-16.44636494,-24.47461059,-24.70884595,-25.58030885,-24.37131875,,-23.52538468,-19.26994292,-23.63698582,-23.22943806,-23.56352209,-25.73903343,-23.0486983,,-22.29207316,-18.26865154,-22.70813575,-25.326381
Product Responsibility Score,-4.201062924,-4.081546397,-6.541487109,,,,-3.237126864,-5.259964108,-4.989672659,,0.325067699,-1.330174356,-1.177448895,,-0.348204469,1.486450907,-0.34819537,-0.017999285,,0.486671303,5.091214382,-2.669899824,-4.326699534,-4.131724171,,-3.306045316,0.327967723,1.538370102,-5.978000156,-6.941776553,-7.692129853,,-7.639233639,-3.057383011,-1.820820722,-5.953121147,-2.741224851,-3.784480066,-4.985345481,,-3.512407521,0.141458331,0.961126674,-2.79951299,-6.013385089
Resource Use Score,-25.5600009,,,-22.85254159,-25.79259989,,-25.37706357,-28.02803902,,-24.91548588,-20.33709978,-24.16071084,,-20.64022619,-22.81149476,-12.12800936,-18.3062525,,-14.89610442,-17.61599317,-12.78690411,-21.95631712,-24.60428544,,-22.16295799,-24.08828267,-20.55744307,-14.23207826,-24.71099654,-25.69442281,,-24.26884887,-26.18160302,-21.73633245,-16.12311369,-22.77078893,-29.81131283,-30.00521462,,-29.32930593,-32.05562373,-27.04226498,-20.20043671,-28.45224371,-30.03743868
Shareholders Score,,-12.3352138,,-9.26160373,,-12.45054541,-11.00897414,,-14.21434808,-11.25987672,-11.59496173,,-14.2386061,-11.61196769,-13.44516079,-11.52383216,,-13.56835394,-11.59385603,-13.01827902,-15.02554164,-9.437666939,,-12.1333756,-9.769166084,-11.20900765,-11.77063102,-12.5898032,-7.780502201,,-10.62090662,-8.291454668,-9.432354566,-10.40747794,-10.49140895,-8.259031515,-5.318251899,,-7.720196076,-5.594669542,-6.882348581,-8.080849105,-9.064168946,-5.7835335,-3.960147735
Workforce Score,,,-8.631357036,,-1.691899785,-6.159315319,,-5.149354393,-9.885513871,-3.505764859,,0.406394743,-3.671834879,1.502308346,-1.326547605,,8.996074786,4.779534651,9.685586631,6.265234885,12.9312175,,-1.451532551,-5.956700315,-0.318713579,-3.372468369,1.589896252,10.37360229,,-5.668901517,-11.22407572,-5.351706617,-9.816109192,-3.2350674,5.302214569,-4.828977873,,-3.568587344,-12.11358369,-3.013365685,-6.501065497,-0.790709943,7.137806014,-2.792563985,-7.498235551
