,"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')"
CSR Strategy Score,-18.36568026,-15.17014042,-24.42078117,-18.31542298,-20.28073141,-17.4217288,-11.54068576,-18.36182368,-18.35581022,
Community Score,-14.71581465,-13.13805482,-15.77475327,-15.36748248,-18.74780498,-16.44561627,-15.06691628,-14.95507632,,-14.62166534
ESG Controversies Score,-8.20772551,-11.11665123,-5.221080678,-8.241608329,-6.303118713,-2.211680444,-11.841481,,-10.22268919,-8.705277265
Emissions Score,34.61184489,36.63072354,29.99253558,34.25428727,30.30584551,36.81404833,,35.27129646,35.14180064,29.97978243
Environmental Innovation Score,15.98241237,17.50228889,15.04835004,15.64796682,15.51064346,,17.71781014,15.41232001,16.93132643,15.48800108
Human Rights Score,-21.55760935,-22.70694151,-22.94224678,-21.58283937,,-20.87966757,-16.86749841,-21.25461346,-23.84767797,-22.95163008
Product Responsibility Score,-2.689143432,-4.239337835,-4.172950056,,-3.333910203,0.352199127,1.423970984,-2.682977607,-5.877065755,-2.830222294
Resource Use Score,-22.57329859,-25.11456122,,-22.70272209,-24.51746703,-20.68756888,-15.13256326,-21.84954724,-23.40428318,-28.99229791
Shareholders Score,-8.914311769,,-11.83333437,-9.232765507,-10.81102922,-11.65076476,-11.75948854,-9.418754269,-7.628867552,-5.227437739
Workforce Score,,-1.863184149,-6.271320083,-0.678930826,-3.673883985,1.514735297,9.668913643,-0.464250427,-5.127391463,-3.165416221
