,"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')"
CSR Strategy Score,0.282045755
Community Score,0.402046481
ESG Controversies Score,0.769392821
Emissions Score,0.081391818
Environmental Innovation Score,0.201624777
Human Rights Score,0.17402297
Product Responsibility Score,0.852803051
Resource Use Score,0.251716029
Shareholders Score,0.487737236
Workforce Score,0.967516348
