,"('CSR Strategy Score',)","('Community Score',)","('ESG Controversies Score',)","('Emissions Score',)","('Environmental Innovation Score',)","('Human Rights Score',)","('Product Responsibility Score',)","('Resource Use Score',)","('Shareholders Score',)","('Workforce Score',)"
CSR Strategy Score,0.15816622,,,,,,,,,
Community Score,,0.091516488,,,,,,,,
ESG Controversies Score,,,0.992841951,,,,,,,
Emissions Score,,,,0.940278724,,,,,,
Environmental Innovation Score,,,,,0.380316614,,,,,
Human Rights Score,,,,,,0.048663687,,,,
Product Responsibility Score,,,,,,,0.389570579,,,
Resource Use Score,,,,,,,,0.069330372,,
Shareholders Score,,,,,,,,,0.291824998,
Workforce Score,,,,,,,,,,0.269726464
