,"('CSR Strategy Score', 'Community Score')","('CSR Strategy Score', 'ESG Controversies Score')","('CSR Strategy Score', 'Emissions Score')","('CSR Strategy Score', 'Environmental Innovation Score')","('CSR Strategy Score', 'Human Rights Score')","('CSR Strategy Score', 'Product Responsibility Score')","('CSR Strategy Score', 'Resource Use Score')","('CSR Strategy Score', 'Shareholders Score')","('CSR Strategy Score', 'Workforce Score')","('Community Score', 'ESG Controversies Score')","('Community Score', 'Emissions Score')","('Community Score', 'Environmental Innovation Score')","('Community Score', 'Human Rights Score')","('Community Score', 'Product Responsibility Score')","('Community Score', 'Resource Use Score')","('Community Score', 'Shareholders Score')","('Community Score', 'Workforce Score')","('ESG Controversies Score', 'Emissions Score')","('ESG Controversies Score', 'Environmental Innovation Score')","('ESG Controversies Score', 'Human Rights Score')","('ESG Controversies Score', 'Product Responsibility Score')","('ESG Controversies Score', 'Resource Use Score')","('ESG Controversies Score', 'Shareholders Score')","('ESG Controversies Score', 'Workforce Score')","('Emissions Score', 'Environmental Innovation Score')","('Emissions Score', 'Human Rights Score')","('Emissions Score', 'Product Responsibility Score')","('Emissions Score', 'Resource Use Score')","('Emissions Score', 'Shareholders Score')","('Emissions Score', 'Workforce Score')","('Environmental Innovation Score', 'Human Rights Score')","('Environmental Innovation Score', 'Product Responsibility Score')","('Environmental Innovation Score', 'Resource Use Score')","('Environmental Innovation Score', 'Shareholders Score')","('Environmental Innovation Score', 'Workforce Score')","('Human Rights Score', 'Product Responsibility Score')","('Human Rights Score', 'Resource Use Score')","('Human Rights Score', 'Shareholders Score')","('Human Rights Score', 'Workforce Score')","('Product Responsibility Score', 'Resource Use Score')","('Product Responsibility Score', 'Shareholders Score')","('Product Responsibility Score', 'Workforce Score')","('Resource Use Score', 'Shareholders Score')","('Resource Use Score', 'Workforce Score')","('Shareholders Score', 'Workforce Score')"
CSR Strategy Score,0.379031992,0.154494496,0.08220978,0.080243895,0.517704677,0.228256941,0.700283389,0.083259135,0.335820288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Score,0.20248962,,,,,,,,,0.092174228,0.070818942,0.064772834,0.33174167,0.144263335,0.298285026,0.075588168,0.189703082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Controversies Score,,0.826366096,,,,,,,,0.936672394,,,,,,,,0.994931358,0.966996147,0.787112744,0.969136707,0.730572693,0.883215178,0.850799529,,,,,,,,,,,,,,,,,,,,,
Emissions Score,,,0.306205228,,,,,,,,0.507239618,,,,,,,0.940676183,,,,,,,0.701744844,0.283632815,0.757957691,0.154184933,0.805755585,0.389455332,,,,,,,,,,,,,,,
Environmental Innovation Score,,,,0.174299402,,,,,,,,0.245999627,,,,,,,0.381297401,,,,,,0.341186429,,,,,,0.184189817,0.249528922,0.140672314,0.475861243,0.207508023,,,,,,,,,,
Human Rights Score,,,,,0.129216599,,,,,,,,0.159915243,,,,,,,0.047275572,,,,,,0.025248863,,,,,0.027465367,,,,,0.074114315,0.206885621,0.050089532,0.10167501,,,,,,
Product Responsibility Score,,,,,,0.6482611,,,,,,,,0.845833809,,,,,,,0.390595728,,,,,,0.363705808,,,,,0.25481212,,,,0.802678797,,,,0.874432932,0.424712396,0.615617071,,,
Resource Use Score,,,,,,,0.228984627,,,,,,,,0.216061319,,,,,,,0.065324688,,,,,,0.021288169,,,,,0.030445336,,,,0.315228302,,,0.109076656,,,0.070766146,0.150105716,
Shareholders Score,,,,,,,,0.144903432,,,,,,,,0.231470339,,,,,,,0.288682049,,,,,,0.281641653,,,,,0.357201036,,,,0.29869321,,,0.315904231,,0.296212432,,0.265371222
Workforce Score,,,,,,,,,0.691365679,,,,,,,,0.750963606,,,,,,,0.264346745,,,,,,0.163060177,,,,,0.15377546,,,,0.869649442,,,0.393872416,,0.952945267,0.245837158
