,"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score')","('CSR Strategy Score', 'Community Score', 'Emissions Score')","('CSR Strategy Score', 'Community Score', 'Environmental Innovation Score')","('CSR Strategy Score', 'Community Score', 'Human Rights Score')","('CSR Strategy Score', 'Community Score', 'Product Responsibility Score')","('CSR Strategy Score', 'Community Score', 'Resource Use Score')","('CSR Strategy Score', 'Community Score', 'Shareholders Score')","('CSR Strategy Score', 'Community Score', 'Workforce Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Environmental Innovation Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Human Rights Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Product Responsibility Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Resource Use Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Shareholders Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Workforce Score')","('CSR Strategy Score', 'Emissions Score', 'Environmental Innovation Score')","('CSR Strategy Score', 'Emissions Score', 'Human Rights Score')","('CSR Strategy Score', 'Emissions Score', 'Product Responsibility Score')","('CSR Strategy Score', 'Emissions Score', 'Resource Use Score')","('CSR Strategy Score', 'Emissions Score', 'Shareholders Score')","('CSR Strategy Score', 'Emissions Score', 'Workforce Score')","('CSR Strategy Score', 'Environmental Innovation Score', 'Human Rights Score')","('CSR Strategy Score', 'Environmental Innovation Score', 'Product Responsibility Score')","('CSR Strategy Score', 'Environmental Innovation Score', 'Resource Use Score')","('CSR Strategy Score', 'Environmental Innovation Score', 'Shareholders Score')","('CSR Strategy Score', 'Environmental Innovation Score', 'Workforce Score')","('CSR Strategy Score', 'Human Rights Score', 'Product Responsibility Score')","('CSR Strategy Score', 'Human Rights Score', 'Resource Use Score')","('CSR Strategy Score', 'Human Rights Score', 'Shareholders Score')","('CSR Strategy Score', 'Human Rights Score', 'Workforce Score')","('CSR Strategy Score', 'Product Responsibility Score', 'Resource Use Score')","('CSR Strategy Score', 'Product Responsibility Score', 'Shareholders Score')","('CSR Strategy Score', 'Product Responsibility Score', 'Workforce Score')","('CSR Strategy Score', 'Resource Use Score', 'Shareholders Score')","('CSR Strategy Score', 'Resource Use Score', 'Workforce Score')","('CSR Strategy Score', 'Shareholders Score', 'Workforce Score')","('Community Score', 'ESG Controversies Score', 'Emissions Score')","('Community Score', 'ESG Controversies Score', 'Environmental Innovation Score')","('Community Score', 'ESG Controversies Score', 'Human Rights Score')","('Community Score', 'ESG Controversies Score', 'Product Responsibility Score')","('Community Score', 'ESG Controversies Score', 'Resource Use Score')","('Community Score', 'ESG Controversies Score', 'Shareholders Score')","('Community Score', 'ESG Controversies Score', 'Workforce Score')","('Community Score', 'Emissions Score', 'Environmental Innovation Score')","('Community Score', 'Emissions Score', 'Human Rights Score')","('Community Score', 'Emissions Score', 'Product Responsibility Score')","('Community Score', 'Emissions Score', 'Resource Use Score')","('Community Score', 'Emissions Score', 'Shareholders Score')","('Community Score', 'Emissions Score', 'Workforce Score')","('Community Score', 'Environmental Innovation Score', 'Human Rights Score')","('Community Score', 'Environmental Innovation Score', 'Product Responsibility Score')","('Community Score', 'Environmental Innovation Score', 'Resource Use Score')","('Community Score', 'Environmental Innovation Score', 'Shareholders Score')","('Community Score', 'Environmental Innovation Score', 'Workforce Score')","('Community Score', 'Human Rights Score', 'Product Responsibility Score')","('Community Score', 'Human Rights Score', 'Resource Use Score')","('Community Score', 'Human Rights Score', 'Shareholders Score')","('Community Score', 'Human Rights Score', 'Workforce Score')","('Community Score', 'Product Responsibility Score', 'Resource Use Score')","('Community Score', 'Product Responsibility Score', 'Shareholders Score')","('Community Score', 'Product Responsibility Score', 'Workforce Score')","('Community Score', 'Resource Use Score', 'Shareholders Score')","('Community Score', 'Resource Use Score', 'Workforce Score')","('Community Score', 'Shareholders Score', 'Workforce Score')","('ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score')","('ESG Controversies Score', 'Emissions Score', 'Human Rights Score')","('ESG Controversies Score', 'Emissions Score', 'Product Responsibility Score')","('ESG Controversies Score', 'Emissions Score', 'Resource Use Score')","('ESG Controversies Score', 'Emissions Score', 'Shareholders Score')","('ESG Controversies Score', 'Emissions Score', 'Workforce Score')","('ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score')","('ESG Controversies Score', 'Environmental Innovation Score', 'Product Responsibility Score')","('ESG Controversies Score', 'Environmental Innovation Score', 'Resource Use Score')","('ESG Controversies Score', 'Environmental Innovation Score', 'Shareholders Score')","('ESG Controversies Score', 'Environmental Innovation Score', 'Workforce Score')","('ESG Controversies Score', 'Human Rights Score', 'Product Responsibility Score')","('ESG Controversies Score', 'Human Rights Score', 'Resource Use Score')","('ESG Controversies Score', 'Human Rights Score', 'Shareholders Score')","('ESG Controversies Score', 'Human Rights Score', 'Workforce Score')","('ESG Controversies Score', 'Product Responsibility Score', 'Resource Use Score')","('ESG Controversies Score', 'Product Responsibility Score', 'Shareholders Score')","('ESG Controversies Score', 'Product Responsibility Score', 'Workforce Score')","('ESG Controversies Score', 'Resource Use Score', 'Shareholders Score')","('ESG Controversies Score', 'Resource Use Score', 'Workforce Score')","('ESG Controversies Score', 'Shareholders Score', 'Workforce Score')","('Emissions Score', 'Environmental Innovation Score', 'Human Rights Score')","('Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score')","('Emissions Score', 'Environmental Innovation Score', 'Resource Use Score')","('Emissions Score', 'Environmental Innovation Score', 'Shareholders Score')","('Emissions Score', 'Environmental Innovation Score', 'Workforce Score')","('Emissions Score', 'Human Rights Score', 'Product Responsibility Score')","('Emissions Score', 'Human Rights Score', 'Resource Use Score')","('Emissions Score', 'Human Rights Score', 'Shareholders Score')","('Emissions Score', 'Human Rights Score', 'Workforce Score')","('Emissions Score', 'Product Responsibility Score', 'Resource Use Score')","('Emissions Score', 'Product Responsibility Score', 'Shareholders Score')","('Emissions Score', 'Product Responsibility Score', 'Workforce Score')","('Emissions Score', 'Resource Use Score', 'Shareholders Score')","('Emissions Score', 'Resource Use Score', 'Workforce Score')","('Emissions Score', 'Shareholders Score', 'Workforce Score')","('Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score')","('Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score')","('Environmental Innovation Score', 'Human Rights Score', 'Shareholders Score')","('Environmental Innovation Score', 'Human Rights Score', 'Workforce Score')","('Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score')","('Environmental Innovation Score', 'Product Responsibility Score', 'Shareholders Score')","('Environmental Innovation Score', 'Product Responsibility Score', 'Workforce Score')","('Environmental Innovation Score', 'Resource Use Score', 'Shareholders Score')","('Environmental Innovation Score', 'Resource Use Score', 'Workforce Score')","('Environmental Innovation Score', 'Shareholders Score', 'Workforce Score')","('Human Rights Score', 'Product Responsibility Score', 'Resource Use Score')","('Human Rights Score', 'Product Responsibility Score', 'Shareholders Score')","('Human Rights Score', 'Product Responsibility Score', 'Workforce Score')","('Human Rights Score', 'Resource Use Score', 'Shareholders Score')","('Human Rights Score', 'Resource Use Score', 'Workforce Score')","('Human Rights Score', 'Shareholders Score', 'Workforce Score')","('Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')","('Product Responsibility Score', 'Resource Use Score', 'Workforce Score')","('Product Responsibility Score', 'Shareholders Score', 'Workforce Score')","('Resource Use Score', 'Shareholders Score', 'Workforce Score')"
CSR Strategy Score,0.368473194,0.131062096,0.220571606,0.653455668,0.392129058,0.808008279,0.229849773,0.410106688,0.082824555,0.074636782,0.496740244,0.222141416,0.686484309,0.084991173,0.328601406,0.061410382,0.156772255,0.09269335,0.317990903,0.046679508,0.146994216,0.324040268,0.129284219,0.532021976,0.046229995,0.233313538,0.54328065,0.879261144,0.327900095,0.524387056,0.710000817,0.120689113,0.368625282,0.445982199,0.679264623,0.191747822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Score,0.204152541,0.112294808,0.17387103,0.395517657,0.23534585,0.320510602,0.206187105,0.225801497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071585226,0.064713003,0.333901549,0.144958309,0.30406326,0.07727756,0.193274416,0.066868605,0.200522713,0.1073895,0.173501298,0.068088607,0.153511229,0.279753991,0.127439426,0.267588481,0.057562864,0.183624174,0.348742189,0.466075892,0.284446956,0.32932931,0.300221482,0.113144837,0.224263776,0.254625365,0.263041595,0.166715721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Controversies Score,0.830007678,,,,,,,,0.933804305,0.709364122,0.730634559,0.824141522,0.714817626,0.933695759,0.792731403,,,,,,,,,,,,,,,,,,,,,,0.957355941,0.875343381,0.791333443,0.931042426,0.752950588,0.94258339,0.891809692,,,,,,,,,,,,,,,,,,,,,,0.892722429,0.915957574,0.981853164,0.846450427,0.918291122,0.930348315,0.695896915,0.90003788,0.599204437,0.928613995,0.736034369,0.785492204,0.676431507,0.893881794,0.770348566,0.733941842,0.923530212,0.854122857,0.836477066,0.733924047,0.958510581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Score,,0.1628144,,,,,,,0.317434244,,,,,,,0.437113714,0.098377958,0.223971746,0.090381161,0.308826377,0.166005399,,,,,,,,,,,,,,,,0.51023444,,,,,,,0.734927289,0.1743922,0.451026321,0.094559391,0.616306801,0.302334759,,,,,,,,,,,,,,,,0.687112004,0.298462197,0.75989933,0.16396429,0.824511214,0.399949176,,,,,,,,,,,,,,,,0.453257571,0.979636012,0.244765142,0.624254275,0.523400399,0.227922185,0.058435954,0.374035555,0.16724583,0.134632166,0.914699664,0.306728166,0.219555454,0.123721989,0.493239147,,,,,,,,,,,,,,,,,,,,
Environmental Innovation Score,,,0.150309749,,,,,,,0.165296138,,,,,,0.237153089,,,,,,0.128613102,0.140167861,0.121314911,0.221127849,0.149357643,,,,,,,,,,,,0.244270376,,,,,,0.313689744,,,,,,0.158913133,0.217237171,0.128462561,0.323712969,0.200644994,,,,,,,,,,,0.3378861,,,,,,0.175805013,0.248464394,0.128103584,0.483156746,0.197974891,,,,,,,,,,,0.278881519,0.2685951,0.221860526,0.407873842,0.263561008,,,,,,,,,,,0.157502823,0.112014057,0.243480292,0.162248185,0.128271708,0.327530961,0.16935631,0.190349358,0.139730197,0.271703185,,,,,,,,,,
Human Rights Score,,,,0.237524492,,,,,,,0.124628274,,,,,,0.046079077,,,,,0.096489786,,,,,0.147649716,0.227101106,0.180893741,0.142847556,,,,,,,,,0.154589003,,,,,,0.066376516,,,,,0.106209026,,,,,0.164870783,0.307984471,0.17700347,0.167556886,,,,,,,,0.025546673,,,,,0.025613608,,,,,0.071770496,0.200404073,0.05092479,0.099575284,,,,,,,0.021977132,,,,,0.033327167,0.076080576,0.033024157,0.050230657,,,,,,,0.049749405,0.162404732,0.030701307,0.081403464,,,,,,,0.211609699,0.072894292,0.116889811,0.210134395,0.184709734,0.111660257,,,,
Product Responsibility Score,,,,,0.975921455,,,,,,,0.648057395,,,,,,0.421861183,,,,,0.458764134,,,,0.900278014,,,,0.899829618,0.806010024,0.710002793,,,,,,,0.843878156,,,,,,0.68132364,,,,,0.637024574,,,,0.950220117,,,,0.879550553,0.940979799,0.89258307,,,,,,0.365074532,,,,,0.25372541,,,,0.800818525,,,,0.880772457,0.430670493,0.61768048,,,,,0.284913219,,,,0.541136963,,,,0.620292987,0.444504583,0.454579343,,,,0.579123495,,,,0.67040206,0.29719623,0.454115578,,,,0.963474297,0.850615191,0.828854622,,,,0.925303164,0.866684673,0.681896005,
Resource Use Score,,,,,,0.367882633,,,,,,,0.217048641,,,,,,0.070762277,,,,,0.156848948,,,,0.434956053,,,0.26410063,,,0.35818879,0.252643246,,,,,,0.20399465,,,,,,0.048901131,,,,,0.114259873,,,,0.439570995,,,0.219728801,,,0.2358999,0.20565828,,,,,0.021236742,,,,,0.026408023,,,,0.293386982,,,0.102546401,,,0.070736457,0.143635599,,,,0.015472831,,,,0.063591333,,,0.03024413,,,0.030305333,0.054681926,,,0.182708232,,,0.059648676,,,0.034810125,0.102877915,,0.331670061,,,0.317117288,0.282455973,,0.105509183,0.175435225,,0.167332615
Shareholders Score,,,,,,,0.147720672,,,,,,,0.150135097,,,,,,0.146621278,,,,,0.182787675,,,,0.203848815,,,0.160948941,,0.217934029,,0.155611427,,,,,,0.233117072,,,,,,0.266065764,,,,,0.303381687,,,,0.257381411,,,0.238280238,,0.252936656,,0.230815051,,,,,0.280975026,,,,,0.356914701,,,,0.312859421,,,0.315562864,,0.315121907,,0.273264178,,,,0.333157639,,,,0.39579351,,,0.33836245,,0.448681211,,0.325631143,,,0.409192551,,,0.423518194,,0.422893674,,0.35315111,,0.306275669,,0.30055537,,0.294039939,0.301329621,,0.283498049,0.29842273
Workforce Score,,,,,,,,0.921966083,,,,,,,0.673228041,,,,,,0.309019332,,,,,0.526356611,,,,0.898789162,,,0.766603899,,0.869082958,0.804591539,,,,,,,0.737519931,,,,,,0.39387095,,,,,0.526923282,,,,0.837402961,,,0.776273122,,0.670451388,0.736645937,,,,,,0.163558189,,,,,0.144103692,,,,0.842457817,,,0.384988107,,0.972874038,0.250659118,,,,,0.13079148,,,,0.373549139,,,0.19589191,,0.551075125,0.18616276,,,,0.633403951,,,0.255422216,,0.868510474,0.153074099,,,0.914816372,,0.671651003,0.815337076,,0.934164137,0.350093737,0.984821313
