,"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')","('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')","('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')","('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')","('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')"
CSR Strategy Score,0.345954697,0.108530516,0.180903321,0.274014633,0.357277597,0.127371874,0.220045572,0.312191176,0.092326335,0.230398459,0.305457426,0.423002116,0.152085783,0.304636101,0.254378556,0.539782989,0.664600699,0.282465834,0.489263192,0.401791124,0.542697045,0.273377859,0.357605596,0.130921585,0.276596836,0.230458638,0.303638442,0.48775185,0.262800183,0.338449525,0.125337263,0.276939571,0.224474651,0.305475872,0.48764558,0.276164476,,,,,,,,,
Community Score,0.415642012,0.298617097,0.415135214,0.336269597,0.387350319,0.305431037,0.232507416,0.309249482,0.232853967,0.229284829,0.335301662,0.390373159,0.312394925,0.328716159,0.231363976,0.445486033,0.445783134,0.361509154,0.384471081,0.284623612,0.323955442,0.365832998,0.427057443,0.35250963,0.3421667,0.263896174,0.337059851,0.366481823,,,,,,,,,0.360315407,0.424327397,0.34492449,0.354336817,0.264019709,0.342065322,0.387281215,0.382599045,
ESG Controversies Score,0.692377959,0.873313112,0.756530983,0.770075886,0.68603413,0.855768235,0.832131121,0.729692946,0.921240404,0.824573635,0.933732217,0.848301159,0.991914138,0.936984415,0.986231358,0.643302432,0.569909376,0.74032572,0.673847838,0.727317905,0.849653575,,,,,,,,0.723268421,0.652077676,0.797668607,0.710778706,0.760409121,0.884557732,0.62282061,,0.763948972,0.70752037,0.872927315,0.758214259,0.814845406,0.919613884,0.676940548,,0.704629403
Emissions Score,0.056233629,0.126328497,0.103970435,0.069386649,0.066989292,0.130282633,0.118079449,0.100855575,0.200638373,0.127769186,0.049811832,0.046150495,0.098637584,0.059953306,0.101157593,,,,,,,0.063259606,0.057621741,0.117767773,0.076272147,0.118129545,0.063527913,,0.07709671,0.063807676,0.123617114,0.085505143,0.12854193,0.062141879,,0.072587157,0.113720493,0.096396652,0.266215525,0.124911674,0.200308173,0.098512312,,0.11634045,0.119707387
Environmental Innovation Score,0.15613785,0.239248807,0.17129509,0.202785159,0.163547818,0.240848598,0.22042355,0.163121242,0.252113041,0.223956087,,,,,,0.139585272,0.110023895,0.178841723,0.146846182,0.174111486,,0.209192641,0.168516717,0.233929207,0.214952808,0.223674303,,0.173932953,0.178986685,0.14074839,0.200524271,0.1896088,0.184925575,,0.136935895,0.18771461,0.219022013,0.180204107,0.270946015,0.22123974,0.237352447,,0.170851715,0.228770031,0.189390758
Human Rights Score,0.141241513,0.131257656,0.111989649,0.166016856,0.142277538,0.14154789,,,,,0.185965287,0.153866123,0.1586261,0.185803198,,0.311324723,0.243849527,0.237860384,0.282049873,,0.311428227,0.172312777,0.150483713,0.147087231,0.173506593,,0.186560517,0.291691586,0.110235127,0.10999408,0.099278701,0.115028062,,0.131370732,0.211452559,0.127227072,0.136913425,0.132427656,0.1022688,0.142322321,,0.157776425,0.239204308,0.148042326,0.102488045
Product Responsibility Score,0.770138016,0.77886022,0.648753541,,,,0.824511044,0.716153987,0.732961545,,0.98199065,0.9260423,0.93476889,,0.980811567,0.918283718,0.980694867,0.999002089,,0.973236555,0.722536818,0.85408,0.763649543,0.776184439,,0.820958587,0.981831735,0.915409011,0.670846222,0.619390681,0.584236106,,0.588838701,0.82708667,0.896660051,0.672282222,0.850762387,0.79290839,0.7333363,,0.810827181,0.992190807,0.947095536,0.847772842,0.670238597
Resource Use Score,0.165535657,,,0.224551924,0.172784783,,0.179183833,0.142003673,,0.198937544,0.281566489,0.207295414,,0.286398914,0.242320827,0.504095955,0.332279532,,0.432527541,0.35565024,0.50490333,0.241809413,0.195688115,,0.249626768,0.213785634,0.28902779,0.454254534,0.188083904,0.177949463,,0.209065133,0.179234448,0.264689229,0.399715599,0.239146473,0.093646774,0.102718856,,0.111868638,0.083988546,0.144696758,0.254675876,0.122958596,0.10505651
Shareholders Score,,0.32044848,,0.460051474,,0.312562799,0.384773405,,0.255382872,0.370060863,0.356570226,,0.251493218,0.352854359,0.286066999,0.365599426,,0.280067126,0.358431492,0.306676288,0.233726695,0.452126726,,0.3281335,0.432176154,0.373276671,0.346724859,0.317364073,0.538134205,,0.394348264,0.509057659,0.457501216,0.407495678,0.407986803,0.510026271,0.665011451,,0.530019741,0.645190155,0.576743257,0.505766542,0.455457317,0.634542339,0.746084438
Workforce Score,,,0.660071597,,0.93313759,0.754834996,,0.798613184,0.615960019,0.862203998,,0.983979239,0.852110322,0.9407479,0.947688951,,0.645146616,0.796382568,0.619317084,0.745571547,0.507029561,,0.942581469,0.761810758,0.987377822,0.867186808,0.93725291,0.593507428,,0.77228231,0.555175228,0.784709843,0.614774888,0.8692535,0.778757414,0.805167995,,0.859381154,0.53442385,0.88106649,0.74717375,0.968716823,0.709775257,0.88962974,0.701188671
