,"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'Community Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')","('Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')"
CSR Strategy Score,0.275797178,0.353808709,0.131416013,0.279889022,0.232767863,0.306101442,0.488300728,0.278724689,0.279898108,
Community Score,0.379213616,0.444918555,0.362878091,0.357811932,0.273846834,0.342534299,0.388292827,0.385678834,,0.399585872
ESG Controversies Score,0.770143922,0.690237971,0.852790469,0.769658264,0.823603281,0.936793646,0.676245828,,0.716155815,0.75795271
Emissions Score,0.069295027,0.064443771,0.124791715,0.08164283,0.124887364,0.065554705,,0.076169286,0.078562932,0.1235008
Environmental Innovation Score,0.199608582,0.156655886,0.229830471,0.204876134,0.217560555,,0.159880539,0.21150404,0.175488623,0.217029224
Human Rights Score,0.169054613,0.147870205,0.146031086,0.170647749,,0.187240228,0.281851459,0.176919348,0.125227964,0.145465996
Product Responsibility Score,0.853475295,0.768926063,0.774730285,,0.820032201,0.980557248,0.921902315,0.85395659,0.677125573,0.846576075
Resource Use Score,0.233205419,0.188834315,,0.241867029,0.209408159,0.28927174,0.430444565,0.259702457,0.229573391,0.118784153
Shareholders Score,0.483258297,,0.345760859,0.463951126,0.396591285,0.356672363,0.357426031,0.455469507,0.547715774,0.671718175
Workforce Score,,0.926636277,0.751294538,0.973245609,0.856203725,0.940471913,0.621064217,0.981686862,0.794142714,0.875596052
