,
"('CSR Strategy Score',)",0.008
"('Community Score',)",0.011
"('ESG Controversies Score',)",0.004
"('Emissions Score',)",0.033
"('Environmental Innovation Score',)",0.016
"('Human Rights Score',)",0.013
"('Product Responsibility Score',)",0.008
"('Resource Use Score',)",0.024
"('Shareholders Score',)",0.000
"('Workforce Score',)",0.033
"('CSR Strategy Score', 'Community Score')",0.014
"('CSR Strategy Score', 'ESG Controversies Score')",0.010
"('CSR Strategy Score', 'Emissions Score')",0.034
"('CSR Strategy Score', 'Environmental Innovation Score')",0.018
"('CSR Strategy Score', 'Human Rights Score')",0.015
"('CSR Strategy Score', 'Product Responsibility Score')",0.012
"('CSR Strategy Score', 'Resource Use Score')",0.024
"('CSR Strategy Score', 'Shareholders Score')",0.008
"('CSR Strategy Score', 'Workforce Score')",0.033
"('Community Score', 'ESG Controversies Score')",0.015
"('Community Score', 'Emissions Score')",0.034
"('Community Score', 'Environmental Innovation Score')",0.024
"('Community Score', 'Human Rights Score')",0.017
"('Community Score', 'Product Responsibility Score')",0.014
"('Community Score', 'Resource Use Score')",0.026
"('Community Score', 'Shareholders Score')",0.012
"('Community Score', 'Workforce Score')",0.033
"('ESG Controversies Score', 'Emissions Score')",0.034
"('ESG Controversies Score', 'Environmental Innovation Score')",0.021
"('ESG Controversies Score', 'Human Rights Score')",0.015
"('ESG Controversies Score', 'Product Responsibility Score')",0.011
"('ESG Controversies Score', 'Resource Use Score')",0.025
"('ESG Controversies Score', 'Shareholders Score')",0.004
"('ESG Controversies Score', 'Workforce Score')",0.034
"('Emissions Score', 'Environmental Innovation Score')",0.038
"('Emissions Score', 'Human Rights Score')",0.034
"('Emissions Score', 'Product Responsibility Score')",0.033
"('Emissions Score', 'Resource Use Score')",0.035
"('Emissions Score', 'Shareholders Score')",0.034
"('Emissions Score', 'Workforce Score')",0.040
"('Environmental Innovation Score', 'Human Rights Score')",0.024
"('Environmental Innovation Score', 'Product Responsibility Score')",0.019
"('Environmental Innovation Score', 'Resource Use Score')",0.031
"('Environmental Innovation Score', 'Shareholders Score')",0.016
"('Environmental Innovation Score', 'Workforce Score')",0.038
"('Human Rights Score', 'Product Responsibility Score')",0.016
"('Human Rights Score', 'Resource Use Score')",0.026
"('Human Rights Score', 'Shareholders Score')",0.013
"('Human Rights Score', 'Workforce Score')",0.034
"('Product Responsibility Score', 'Resource Use Score')",0.024
"('Product Responsibility Score', 'Shareholders Score')",0.008
"('Product Responsibility Score', 'Workforce Score')",0.033
"('Resource Use Score', 'Shareholders Score')",0.024
"('Resource Use Score', 'Workforce Score')",0.035
"('Shareholders Score', 'Workforce Score')",0.033
"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score')",0.017
"('CSR Strategy Score', 'Community Score', 'Emissions Score')",0.036
"('CSR Strategy Score', 'Community Score', 'Environmental Innovation Score')",0.024
"('CSR Strategy Score', 'Community Score', 'Human Rights Score')",0.018
"('CSR Strategy Score', 'Community Score', 'Product Responsibility Score')",0.016
"('CSR Strategy Score', 'Community Score', 'Resource Use Score')",0.026
"('CSR Strategy Score', 'Community Score', 'Shareholders Score')",0.015
"('CSR Strategy Score', 'Community Score', 'Workforce Score')",0.033
"('CSR Strategy Score', 'ESG Controversies Score', 'Emissions Score')",0.035
"('CSR Strategy Score', 'ESG Controversies Score', 'Environmental Innovation Score')",0.022
"('CSR Strategy Score', 'ESG Controversies Score', 'Human Rights Score')",0.016
"('CSR Strategy Score', 'ESG Controversies Score', 'Product Responsibility Score')",0.014
