Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 CSR Strategy Score,0.052478526,0.073460446,-0.039196722,0.051056446,0.044759435,0.061902166,-0.010166942,0.085648048,-0.016191246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Community Score,0.096678365,,,,,,,,,0.115168023,0.0446726,0.099387215,0.081065751,0.094658889,0.058931628,0.118988728,0.026344982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 ESG Controversies Score,,-0.10730735,,,,,,,,-0.122454755,,,,,,,,-0.058283478,-0.149699964,-0.102675922,-0.124054908,-0.074771134,-0.135461093,-0.068650762,,,,,,,,,,,,,,,,,,,,,
4 Emissions Score,,,0.206379548,,,,,,,,0.164270875,,,,,,,0.17489604,,,,,,,0.156477049,0.166474939,0.174186117,0.14051413,0.18467869,0.109809554,,,,,,,,,,,,,,,
5 Environmental Innovation Score,,,,0.096883779,,,,,,,,0.098827144,,,,,,,0.114807707,,,,,,0.06538659,,,,,,0.094518956,0.09727148,0.078527749,0.113886756,0.069971878,,,,,,,,,,
6 Human Rights Score,,,,,0.092241895,,,,,,,,0.082432147,,,,,,,0.105696471,,,,,,0.027824252,,,,,0.090342225,,,,,0.094054387,0.051047891,0.112525472,0.031453722,,,,,,
7 Product Responsibility Score,,,,,,0.065793997,,,,,,,,0.051558607,,,,,,,0.082192954,,,,,,0.014806847,,,,,0.056678185,,,,0.056189936,,,,0.031217878,0.085835075,0.026331046,,,
8 Resource Use Score,,,,,,,0.16063908,,,,,,,,0.132081152,,,,,,,0.147188544,,,,,,0.062979469,,,,,0.128400655,,,,0.129538903,,,0.141186696,,,0.153987773,0.064810572,0.005909992
9 Shareholders Score,,,,,,,,0.018225564,,,,,,,,0.004998493,,,,,,,0.004920146,,,,,,0.024375777,,,,,0.016679796,,,,-0.00392322,,,-0.007528483,,-0.003970908,,0.191911526
10 Workforce Score,,,,,,,,,0.201630794,,,,,,,,0.179148457,,,,,,,0.185510216,,,,,,0.114726639,,,,,0.166973157,,,,0.175235687,,,0.181390814,,0.148159493,
