Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 CSR Strategy Score,-0.060246623,-0.050827686,-0.048157031,-0.071480464,-0.042688951,-0.068177382,1.85E-05,0.011948446,-0.038907324,0.021575152,-0.039230191,0.021267897,-0.027420602,0.030163624,-0.027515829,-0.022104639,0.042105958,-0.02501851,-0.021331278,-0.049219593,-0.02003203,-0.059635365,-0.056904929,-0.079006594,-0.050838916,-0.075427373,-0.049387712,-0.071869028,-0.044825693,-0.068015779,-0.070905676,-0.041587881,-0.06717157,-0.068581646,-0.080463397,-0.064534776,0.00717751,-0.039889815,0.014340043,-0.038864669,-0.034285712,0.029131079,-0.034747115,-0.031861033,-0.059056831,-0.03026738,-0.025819234,0.028731005,-0.026976424,-0.028736055,-0.050266057,-0.024793763,-0.02221992,-0.048232956,-0.021725126,-0.050878235,-0.057730398,-0.05334157,-0.07757215,-0.04606035,-0.076059618,-0.046839831,-0.070463865,-0.041105694,-0.068115105,-0.06857285,-0.036907832,-0.067192429,-0.065688873,-0.080300385,-0.063722627,0.008046611,-0.039062895,0.019605518,-0.041676526,-0.031814654,0.036496382,-0.037776297,-0.026625182,-0.060466893,-0.031065356,-0.024312708,0.032150678,-0.028964314,-0.02551491,-0.050891707,-0.025031417,-0.018123076,-0.048934141,-0.022614775,-0.050022013,-0.055268657,-0.077998861,-0.049129557,-0.075333474,-0.076334661,-0.043958363,-0.074037732,-0.071509457,-0.08685201,-0.069787786,-0.069990315,-0.041473376,-0.067451543,-0.068724971,-0.080394136,-0.064983521,-0.06633205,-0.07993257,-0.063866998,-0.079416856,-0.035933959,0.02057417,-0.038471739,-0.035287788,-0.060536408,-0.034597957,-0.026654982,-0.05797166,-0.029803904,-0.057267482,-0.027954527,-0.050282272,-0.027550237,-0.05401669,-0.051730409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Community Score,0.052280007,0.04691372,0.050847286,0.040204569,0.052447409,0.020097817,0.071494884,0.081778502,0.061335129,0.08894539,0.032291806,0.062960635,0.052465214,0.075497567,0.024040125,0.056960958,0.081488813,0.022717716,0.063218087,0.022706208,0.031257815,0.044906011,0.052854822,0.038733221,0.049907692,0.019765394,0.04402632,0.035332986,0.045581906,0.016353745,0.039608171,0.050486066,0.017423034,0.038759157,0.01410899,0.018593111,0.064100478,0.049399336,0.070346553,0.02303056,0.058411704,0.082561955,0.026135993,0.059644158,0.021910804,0.029938954,0.045591859,0.061823492,0.014824352,0.049502165,0.016044511,0.021485309,0.054799503,0.016341331,0.020648947,0.019957778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040718811,0.046408097,0.035620857,0.044581084,0.016757551,0.040328247,0.033458157,0.043207546,0.014862755,0.035721022,0.046638892,0.014538599,0.036929758,0.012828398,0.016628533,0.066174225,0.048022061,0.074179601,0.02298848,0.055376343,0.088990848,0.025281301,0.058349011,0.021000025,0.029423441,0.045015907,0.068011631,0.015705046,0.050177535,0.016491723,0.022899134,0.054603336,0.01568616,0.021638908,0.020426135,0.041390182,0.031840725,0.040541616,0.01427749,0.037248484,0.048030637,0.017294949,0.035232308,0.012500449,0.016013816,0.032423094,0.041715044,0.012607584,0.033377279,0.011151541,0.014671419,0.036682055,0.011464003,0.015364935,0.01242629,0.045692372,0.068019439,0.018501329,0.047159952,0.015678916,0.021788939,0.056084521,0.018522411,0.02527963,0.019768758,0.042933324,0.011019312,0.014094287,0.014606039,0.0143187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 ESG Controversies Score,-0.089430268,-0.063276179,-0.065514571,-0.055871009,-0.069887214,-0.053837886,-0.123364894,-0.1320557,-0.105976942,-0.141497392,-0.09820617,-0.097493036,-0.075879175,-0.100879454,-0.070833764,-0.080806533,-0.110897643,-0.074295418,-0.08001949,-0.063608133,-0.075737591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.083430507,-0.085991763,-0.075943184,-0.093654024,-0.074447644,-0.060380579,-0.051207859,-0.063403934,-0.051312728,-0.052774268,-0.066891327,-0.052503905,-0.054200123,-0.047468494,-0.054440949,-0.119247697,-0.097419485,-0.126941468,-0.09246036,-0.10243048,-0.138206416,-0.095336286,-0.105674582,-0.085245169,-0.100277836,-0.073211634,-0.09613975,-0.069794462,-0.06944136,-0.05994339,-0.06918234,-0.076260725,-0.062659871,-0.07323852,-0.05997033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.080965218,-0.082179382,-0.075192003,-0.092807057,-0.069862992,-0.059594826,-0.052865842,-0.066169154,-0.049498249,-0.053311686,-0.067589659,-0.049720572,-0.059531048,-0.047062592,-0.05519575,-0.122413689,-0.09645575,-0.132412391,-0.087889759,-0.1003512,-0.145569569,-0.090184358,-0.108257791,-0.081362507,-0.098867235,-0.074009507,-0.103908427,-0.067414891,-0.074510086,-0.058690907,-0.070213662,-0.079406392,-0.06045808,-0.07308381,-0.062465724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.077827549,-0.071227469,-0.088252052,-0.068093758,-0.071734402,-0.090315111,-0.068042001,-0.082134675,-0.066131519,-0.077402869,-0.05002067,-0.06277727,-0.048377627,-0.054931484,-0.045671017,-0.053379309,-0.056056057,-0.045941403,-0.05360775,-0.050941736,-0.093093087,-0.128000539,-0.08568761,-0.098814938,-0.078243967,-0.093374152,-0.103880204,-0.079410995,-0.095874673,-0.08662041,-0.070603005,-0.058014426,-0.06814909,-0.058855438,-0.060947882,,,,,,,,,,,,,,,,,,,,,
4 Emissions Score,0.165228635,0.179773229,0.185232902,0.157879551,0.186783863,0.136736649,,,,,,,,,,,,,,,,0.167474859,0.176276899,0.146827426,0.173936456,0.127435895,0.183710078,0.157960898,0.185812476,0.138036056,0.162397018,0.192307394,0.139593324,0.162486375,0.126766343,0.141193945,,,,,,,,,,,,,,,,,,,,,0.16826823,0.177581401,0.14838196,0.178357125,0.123698443,0.183774848,0.159415286,0.189606175,0.135767207,0.163713721,0.195702503,0.136434947,0.166695899,0.125204013,0.139717823,,,,,,,,,,,,,,,,,,,,,0.175001786,0.148199207,0.1767246,0.126465884,0.155408021,0.187313097,0.130398481,0.155797634,0.116434614,0.130598669,0.16148336,0.190298048,0.137357701,0.16297269,0.12625676,0.13988057,0.168176525,0.127591608,0.141284822,0.127989784,,,,,,,,,,,,,,,,0.127097038,0.133456097,0.110102906,0.134702859,0.0862858,0.150763532,0.127250111,0.157210757,0.103863806,0.129792439,0.162171561,0.103702619,0.135611694,0.095538104,0.109025099,,,,,,,,,,,,,,,,,,,,,0.1380547,0.11477115,0.141903601,0.09258674,0.119069602,0.149807005,0.095052776,0.123917079,0.085581468,0.098170451,0.131218524,0.162896939,0.106949521,0.136859027,0.098396178,0.112630638,0.140341798,0.098597635,0.113310977,0.103775756,,,,,,,,,,,,,,,,0.136564997,0.11392844,0.142918799,0.087983808,0.118862128,0.152002317,0.089923867,0.125732902,0.081996467,0.094143766,0.130937229,0.163919686,0.103543222,0.13873038,0.096403634,0.110583353,0.142104762,0.096076058,0.110371893,0.10258052,,,,,,,,,,,,,,,,0.12054032,0.152749751,0.09500349,0.127323011,0.086514685,0.100183597,0.133619546,0.088341174,0.103412398,0.093895348,0.140580466,0.098592811,0.113078081,0.104658719,0.104951146,,,,,,
5 Environmental Innovation Score,0.075364265,,,,,,0.094998733,0.095733455,0.086745105,0.102903544,0.080055966,,,,,,,,,,,0.06934983,0.070891686,0.06648794,0.07248812,0.063519084,,,,,,,,,,,0.086143885,0.079232965,0.090879371,0.073408955,0.080413275,0.09227657,0.072964674,0.081596801,0.070537276,0.07588397,,,,,,,,,,,0.074587337,0.074748161,0.071263333,0.079121598,0.068011431,,,,,,,,,,,0.091305538,0.085150912,0.099616865,0.078541916,0.084982318,0.099256807,0.077430018,0.089148775,0.075440459,0.082048234,,,,,,,,,,,0.069187108,0.066089761,0.071842971,0.06313029,0.067074455,0.072887202,0.063717737,0.068006484,0.061835135,0.065043111,,,,,,,,,,,0.077976085,0.087036858,0.07149855,0.079602846,0.069781638,0.074235519,0.07957169,0.069655024,0.073339423,0.070484062,,,,,,0.068778227,0.070312554,0.065845574,0.074518801,0.061984772,,,,,,,,,,,0.09240728,0.079990917,0.099598926,0.073120512,0.081587464,0.103805222,0.073339818,0.08589824,0.069633868,0.078580302,,,,,,,,,,,0.065151905,0.060989929,0.068137116,0.057635933,0.062697931,0.070874842,0.058824846,0.065145061,0.056687429,0.061305747,,,,,,,,,,,0.07488567,0.090385238,0.067759803,0.077033211,0.064510552,0.071323605,0.079081361,0.065074217,0.071956382,0.067583059,,,,,,0.068859609,0.065420587,0.074233161,0.061702813,0.066145354,0.075733133,0.062310551,0.070895665,0.060757436,0.066449371,,,,,,,,,,,0.079045962,0.096630858,0.071603078,0.08371688,0.068879836,0.07693746,0.084470309,0.068884852,0.07689013,0.073243251,,,,,,0.061608532,0.069124351,0.058159727,0.064719375,0.056512097,0.061117551,0.066301337,0.057423775,0.062594209,0.06016026,,,,,,0.075747925,0.064105693,0.069919625,0.066724038,0.067060153,
6 Human Rights Score,,0.022475205,,,,,0.055586594,,,,,0.061779278,0.040531803,0.064008938,0.030212471,,,,,,,0.02139212,,,,,0.023950579,0.013992634,0.021140475,0.009272747,,,,,,,0.059992588,0.037644172,0.058372538,0.028299184,,,,,,,0.041590834,0.065510395,0.03007753,0.043876093,0.021699894,0.032474178,,,,,0.030036211,,,,,0.031486312,0.020720643,0.030210297,0.011427958,,,,,,,0.069304331,0.046402298,0.071567436,0.029978354,,,,,,,0.048657263,0.075473891,0.030397439,0.05366063,0.023408772,0.034405579,,,,,0.031708641,0.019711104,0.027684781,0.011003066,,,,,,,0.021055294,0.030671269,0.0115511,0.020972292,0.006554762,0.011042983,,,,,0.047577081,0.072875603,0.030745916,0.049200438,0.021890279,0.031450734,,,,,0.051659033,0.022561126,0.032679194,0.025436725,,0.011311261,,,,,0.015794167,0.007886869,0.011795785,0.001541459,,,,,,,0.053376493,0.027812163,0.052576581,0.01701144,,,,,,,0.034847918,0.068230198,0.022258849,0.0361515,0.01433495,0.023985402,,,,,0.014660995,0.006827116,0.008906234,0.00061278,,,,,,,0.009182133,0.014354284,0.002639249,0.006773004,-0.000356802,2.93E-05,,,,,0.031864269,0.061152842,0.020410988,0.031083555,0.012072192,0.019409209,,,,,0.037706122,0.015033466,0.024725513,0.015753977,,0.021403821,0.01247221,0.01611566,0.001955461,,,,,,,0.014524815,0.021673904,0.00367972,0.013030583,0.001036463,0.001601264,,,,,0.038270326,0.071204075,0.020157944,0.039267575,0.013009965,0.019895676,,,,,0.044551342,0.015335401,0.024495521,0.017052653,,0.014271627,0.019855814,0.003940859,0.010890429,0.00050248,-0.000158152,,,,,0.013920113,0.001471015,0.002684142,-0.000104608,,0.041553224,0.01468762,0.022692433,0.014215613,,0.016645012
7 Product Responsibility Score,,,0.005728046,,,,,0.020803407,,,,0.034521016,,,,0.019262002,0.039050709,0.024556454,,,,,-0.007826734,,,,0.003410181,,,,-0.003715688,0.001389655,0.00267576,,,,0.016208658,,,,0.002714433,0.017901196,0.00969206,,,,0.015305049,0.033526825,0.021519889,,,,0.019430208,0.013372987,0.024310087,,,0.006062325,,,,0.014422668,,,,0.006525204,0.01476799,0.007571346,,,,0.031373735,,,,0.017598468,0.039202675,0.015603232,,,,0.026537937,0.048900185,0.025436391,,,,0.033844414,0.017985159,0.02927868,,0.001712514,,,,-0.00544628,0.00019104,-0.003658179,,,,0.003306677,0.010964444,0.005359804,,,,0.004607122,0.000552267,0.005194556,,0.011054226,0.029658159,0.011602584,,,,0.01702402,0.004773982,0.014127274,,0.026474978,0.014409514,0.024920073,,0.017925255,,-0.008081086,,,,0.003483214,,,,-0.001424804,-0.000494464,0.002093428,,,,0.01482586,,,,0.001763009,0.017485344,0.005635929,,,,0.015327619,0.036972826,0.019324258,,,,0.017947508,0.012478819,0.020679928,,-0.009085216,,,,-0.013044102,-0.015631371,-0.009116589,,,,-0.002811979,-0.001496837,0.001276252,,,,-0.005656902,-0.001281432,-0.002134985,,-0.000303524,0.014464375,0.004740228,,,,2.64E-05,-0.00086712,0.003876459,,0.014773194,0.010765189,0.018642036,,0.011488336,0.001129665,,,,-0.003433002,-0.003259876,-0.004516252,,,,0.005239412,0.009094601,0.004914205,,,,0.003934607,0.002316024,0.002096183,,0.010545937,0.030349114,0.008613246,,,,0.014191001,0.003777937,0.008686423,,0.025412296,0.014079767,0.021953412,,0.015397728,-0.005757918,-0.005073579,-0.005575874,,,,-0.009018189,-0.007721543,-0.010278522,,0.00175785,0.001041525,0.001158051,,-0.001152564,0.009104349,0.001639897,0.006754051,,0.001576137,0.012783232
8 Resource Use Score,,,,0.078821963,,,,,0.119002001,,,,0.126291892,,,0.132185783,,,0.13730446,0.080891763,,,,0.07489748,,,,0.079192104,,,0.082308985,,,0.079453294,0.052919025,,,0.118100778,,,0.127573564,,,0.12618075,0.076209658,,0.127884206,,,0.13360034,0.080320301,,0.14036938,0.081389166,,0.086658743,,,0.078900561,,,,0.082589988,,,0.085661057,,,0.084287193,0.0525327,,,0.120967233,,,0.130791411,,,0.132808775,0.07382267,,0.12922134,,,0.138878434,0.078744351,,0.145211479,0.078834467,,0.085231381,,0.078422315,,,0.083990324,,,0.077892063,0.050146968,,0.08405626,,,0.083614331,0.053329358,,0.086801416,0.054262316,,0.053919788,0.124966911,,,0.127748181,0.074190608,,0.138625392,0.077668701,,0.078479715,0.136957808,0.078186157,,0.084193166,0.084877187,,,0.041234224,,,,0.050603102,,,0.052430702,,,0.046837808,0.02374876,,,0.088090774,,,0.097068002,,,0.094352302,0.043343544,,0.10762794,,,0.111274338,0.054728608,,0.119140352,0.055032491,,0.05728728,,0.044726144,,,0.047977232,,,0.039165003,0.019703549,,0.053726371,,,0.049526597,0.02595802,,0.05158494,0.02611528,,0.022262415,0.097520714,,,0.096399816,0.046843254,,0.107261401,0.049929723,,0.047814264,0.113972017,0.055832585,,0.057993706,0.059047484,,0.046507304,,,0.050398314,,,0.041730656,0.017980004,,0.055571938,,,0.05273084,0.025103397,,0.055062053,0.02481429,,0.021192378,0.097208898,,,0.098842645,0.043150535,,0.111115097,0.045575919,,0.043846734,0.115893605,0.052753555,,0.055898768,0.055991627,0.051397975,,,0.044984569,0.02107907,,0.049268353,0.022634112,,0.015741577,0.055384599,0.026705168,,0.023819876,0.024012096,0.105629578,0.048011296,,0.047043203,0.05044135,0.056233391
9 Shareholders Score,,,,,0.021558794,,,,,0.033711281,,,,0.014476346,,,0.016837829,,-0.000486794,,0.006877041,,,,0.025926289,,,,0.01630713,,,0.018521863,,0.006221667,,0.009039357,,,0.020138045,,,0.024408418,,0.006189235,,0.012378995,,0.005685173,,-0.008112438,,0.000351504,-0.006849638,,0.000297005,-0.007583274,,,,0.030892135,,,,0.018281126,,,0.019893875,,0.008039841,,0.011075956,,,0.025331111,,,0.028598743,,0.010764814,,0.017086921,,0.006934035,,-0.006782993,,0.002907476,-0.005970365,,0.002657568,-0.005082674,,,0.023119262,,,0.026408085,,0.013595026,,0.015920993,,0.014118982,,0.003492805,,0.007601972,0.004785338,,0.00800167,0.001406289,,0.014633306,,0.000610861,,0.008800633,0.002205107,,0.009737928,0.001372072,-0.012725538,,-0.003034612,-0.009912693,-0.009895862,,,,0.0377714,,,,0.026702876,,,0.027890079,,0.022499157,,0.022097253,,,0.025839967,,,0.027842309,,0.020930892,,0.024484547,,0.004663788,,0.003382098,,0.009737521,0.00326181,,0.009125912,0.007846731,,,0.03219101,,,0.035282016,,0.028474618,,0.027412204,,0.023794453,,0.019024383,,0.019549644,0.020126558,,0.019817722,0.017573088,,0.01555586,,0.01228358,,0.017206987,0.013461206,,0.017838598,0.01536891,-0.002130418,,0.004285587,0.003766129,0.003404394,,,0.035621305,,,0.037687439,,0.032022132,,0.031082413,,0.024088105,,0.020125613,,0.021405074,0.020585905,,0.02129231,0.019592772,,0.018384752,,0.015798236,,0.021979901,0.015741293,,0.022145132,0.020054229,-0.001640916,,0.006989039,0.006236434,0.005788065,,0.031502806,,0.026462023,,0.02692559,0.028250202,,0.028283678,0.025439711,0.017191622,,0.018786635,0.017079006,0.017187265,0.008318014,,0.015429419,0.013916789,0.014211474,0.002220479
10 Workforce Score,,,,,,0.124102566,,,,,0.163983849,,,,0.175440955,,,0.180401158,,0.151722326,0.183043091,,,,,0.117703154,,,,0.124786154,,,0.126446046,,0.110850948,0.124711117,,,,0.164418481,,,0.171491815,,0.142173325,0.170373975,,,0.177445854,,0.150235882,0.180036087,,0.154212008,0.185982099,0.155332856,,,,,0.121885728,,,,0.128500242,,,0.130360681,,0.114565772,0.129323362,,,,0.166197478,,,0.173439104,,0.145738422,0.174257162,,,0.177840043,,0.153071164,0.18336178,,0.156756348,0.18803462,0.160024312,,,,0.122059667,,,0.125416938,,0.108831631,0.121712211,,,0.129360387,,0.114133415,0.128849647,,0.115475424,0.130920923,0.115403091,,,0.169942991,,0.143672434,0.171213922,,0.149307295,0.179466985,0.149960371,,0.153221659,0.181939535,0.154997628,0.15939621,,,,,0.095363698,,,,0.106727874,,,0.106965374,,0.098623522,0.103912377,,,,0.138473391,,,0.143765349,,0.121013937,0.142857361,,,0.159212912,,0.134536625,0.162728368,,0.137177362,0.167494028,0.138547913,,,,0.099485668,,,0.099758917,,0.092681784,0.095438803,,,0.108927835,,0.100264035,0.107003885,,0.100180194,0.107056803,0.09924628,,,0.146616239,,0.123877973,0.147200667,,0.126872718,0.153946654,0.127410537,,0.137025023,0.165149782,0.137897374,0.14104446,,,,0.101308133,,,0.102499939,,0.094977569,0.097395183,,,0.111044075,,0.102737382,0.109941071,,0.102780023,0.110083726,0.102286623,,,0.145069408,,0.124822542,0.147301803,,0.128385959,0.154077963,0.130042497,,0.137731047,0.164789659,0.140470644,0.143100945,,,0.104760695,,0.096795964,0.101691138,,0.097398161,0.102880986,0.095715249,,0.103527681,0.111730069,0.10346255,0.103526428,,0.12863217,0.153537833,0.130075642,0.134467471,0.140464673
