Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 CSR Strategy Score,-0.06252393,-0.060184939,-0.080581551,-0.0533156,-0.077592829,-0.05091284,-0.072433494,-0.045596813,-0.068954101,-0.071541212,-0.042797746,-0.068257023,-0.068188385,-0.080906808,-0.064928963,-0.001352341,-0.043836489,0.007097377,-0.043425,-0.038959751,0.019355869,-0.039974196,-0.034010841,-0.061969715,-0.034191818,-0.028002361,0.024582329,-0.029635387,-0.028977912,-0.0515312,-0.026168525,-0.023074316,-0.049761725,-0.023738794,-0.050872135,-0.059641099,-0.079892741,-0.053400501,-0.076165707,-0.079601373,-0.050246953,-0.075379075,-0.07397705,-0.087473025,-0.07100239,-0.071987665,-0.044853622,-0.068048918,-0.070010633,-0.080729419,-0.065530733,-0.068497171,-0.080520606,-0.064596893,-0.079758865,-0.039889953,0.012637927,-0.039355744,-0.038593885,-0.061164228,-0.035718622,-0.031979468,-0.059055102,-0.03123297,-0.058147132,-0.029953649,-0.050596293,-0.027742091,-0.054175141,-0.05200968,-0.057807749,-0.079210906,-0.050634437,-0.077111734,-0.077643671,-0.046057274,-0.075980504,-0.07124882,-0.087893843,-0.070720723,-0.070409481,-0.042088603,-0.068309968,-0.068128888,-0.080716831,-0.065078997,-0.065888219,-0.080283218,-0.06419202,-0.078856039,-0.039495009,0.014367391,-0.04271066,-0.036203679,-0.062927383,-0.03719073,-0.028358928,-0.060649953,-0.033123602,-0.05774139,-0.028100234,-0.051497295,-0.028830723,-0.053713003,-0.051698974,-0.078196894,-0.048963926,-0.075271227,-0.073684158,-0.087250579,-0.070963931,-0.071310491,-0.087072702,-0.069342701,-0.083508641,-0.068795887,-0.080394117,-0.065259757,-0.080052096,-0.079427372,-0.036128955,-0.060577254,-0.035919046,-0.060552685,-0.057616349,-0.055102492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Community Score,0.047460071,0.054730987,0.041171239,0.051926286,0.022501498,0.045606458,0.037264685,0.047664388,0.018415757,0.040992216,0.051886946,0.019035396,0.040645655,0.015950826,0.02061606,0.066443548,0.052333592,0.072667779,0.026621757,0.060533974,0.083619706,0.029335493,0.062181538,0.025060874,0.033257794,0.047577155,0.064027713,0.017296266,0.052095923,0.018518457,0.02438556,0.056701454,0.018352849,0.023129883,0.022375734,0.047667682,0.035975496,0.045666794,0.018173343,0.043304429,0.054275231,0.022538816,0.039320275,0.015927226,0.020409842,0.036563378,0.045422982,0.015713671,0.035698042,0.013277071,0.016940058,0.040186323,0.014896929,0.018267128,0.014228798,0.049394863,0.065972098,0.020783583,0.049686897,0.018060138,0.023804054,0.059062162,0.021946204,0.027372142,0.022082854,0.044367851,0.012545658,0.014562512,0.015185272,0.015337361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043378147,0.034443824,0.043207241,0.017022808,0.039252057,0.049929635,0.019594479,0.038076881,0.015128425,0.018942609,0.03395434,0.043546453,0.014265538,0.035704372,0.013077568,0.01699736,0.038432544,0.012952822,0.017224922,0.014587256,0.04811265,0.070169005,0.021731509,0.0507072,0.018936357,0.025716246,0.058844836,0.021309343,0.028899716,0.023391864,0.04541054,0.013128727,0.01693535,0.017384041,0.016674826,0.0356087,0.045524965,0.01705558,0.034447398,0.012842006,0.016744152,0.040919597,0.015882131,0.020988188,0.014589812,0.035094339,0.011517249,0.015335104,0.012913675,0.01371489,0.047840445,0.016187836,0.021121938,0.017375728,0.020831795,0.011443546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 ESG Controversies Score,-0.087605348,-0.089376874,-0.079866893,-0.097151763,-0.076780797,-0.063513753,-0.055016975,-0.067775566,-0.053269957,-0.055685869,-0.069921355,-0.054013637,-0.058269818,-0.049162757,-0.056561767,-0.122782416,-0.101905306,-0.130914173,-0.095249457,-0.105956069,-0.140096386,-0.097894957,-0.1102846,-0.087835874,-0.103411063,-0.076583071,-0.100042139,-0.071329091,-0.074786173,-0.061961153,-0.071893714,-0.080145992,-0.064179456,-0.075257281,-0.062451368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.083532831,-0.074979888,-0.090903923,-0.073908017,-0.075695393,-0.093654368,-0.074327561,-0.081495253,-0.069946329,-0.079943471,-0.051676596,-0.064031669,-0.05188531,-0.052848369,-0.047247554,-0.053722901,-0.05458722,-0.047641849,-0.054753344,-0.04848219,-0.097738166,-0.125273977,-0.092575734,-0.099809328,-0.083828768,-0.096740714,-0.105288269,-0.085399619,-0.099687789,-0.087538497,-0.070772591,-0.061184667,-0.069888085,-0.058060839,-0.060871366,,,,,,,,,,,,,,,,,,,,,,-0.080845771,-0.074800613,-0.092106925,-0.069967731,-0.074809455,-0.093377657,-0.069790064,-0.086141651,-0.06783139,-0.079468542,-0.052735784,-0.066144059,-0.049610014,-0.059073978,-0.047136675,-0.055358938,-0.059330226,-0.047033852,-0.05516071,-0.052658481,-0.0964557,-0.131268728,-0.087754104,-0.104072135,-0.080376245,-0.096329176,-0.10833396,-0.081367742,-0.098729247,-0.089407027,-0.074753183,-0.059217336,-0.069917487,-0.061039257,-0.062619526,,,,,,,,,,,,,,,,,,,,,,-0.070933818,-0.088254857,-0.067868654,-0.081423255,-0.066147178,-0.077596113,-0.081962601,-0.065718821,-0.077405135,-0.075778111,-0.055150127,-0.045903948,-0.053497893,-0.050994409,-0.0509267,-0.098749928,-0.078329695,-0.093149927,-0.085484964,-0.086610656,-0.05967155,,,,,,,
4 Emissions Score,0.159432227,0.167183059,0.1404268,0.164035385,0.121312405,0.178608757,0.154630927,0.180853431,0.134776438,0.158493101,0.186272106,0.135788043,0.159088535,0.124024543,0.1376642,,,,,,,,,,,,,,,,,,,,,0.169598421,0.143745695,0.168614937,0.125548976,0.14986926,0.177408044,0.129615784,0.148605998,0.115300527,0.128629957,0.158874327,0.185670801,0.137484859,0.158890719,0.125863159,0.139166418,0.163632467,0.127371121,0.140899345,0.127111465,,,,,,,,,,,,,,,,0.167528439,0.142958329,0.169101453,0.121154379,0.149501177,0.178369081,0.124518511,0.150358642,0.111881941,0.124822026,0.158253115,0.18568187,0.133968517,0.160542383,0.123864136,0.1370424,0.1650329,0.124758204,0.137822256,0.125873672,,,,,,,,,,,,,,,,0.149808113,0.177466488,0.127657176,0.150223248,0.11513843,0.128247071,0.157867025,0.118547708,0.132576405,0.117956599,0.162203672,0.126256517,0.138645735,0.126448119,0.127889491,,,,,,,0.129154842,0.108722357,0.132780236,0.086630425,0.112399222,0.139200669,0.088544238,0.117681181,0.080597567,0.091664649,0.127613612,0.157541065,0.103325426,0.134062064,0.095825617,0.109537384,0.136861665,0.095633152,0.109611124,0.101507853,,,,,,,,,,,,,,,,0.117027913,0.146041684,0.094716134,0.122920777,0.085979712,0.09919253,0.127976166,0.087766223,0.102446213,0.092840276,0.138243338,0.098662394,0.113266973,0.104388616,0.104853235,,,,,,,0.114918756,0.144590203,0.089211456,0.122631983,0.082085049,0.094853968,0.128126114,0.083504328,0.097426164,0.089863481,0.137949657,0.095894741,0.109959132,0.102836715,0.102637546,,,,,,,0.129755612,0.088045963,0.103123702,0.094447493,0.096948552,0.104950288,
5 Environmental Innovation Score,0.074786919,0.076351436,0.071594405,0.078908945,0.068452143,,,,,,,,,,,0.092659197,0.085105509,0.098403587,0.079001147,0.086393799,0.100303496,0.07872087,0.088706382,0.075866422,0.082499611,,,,,,,,,,,0.070513321,0.066283935,0.071873797,0.063405462,0.068376499,0.074472697,0.064645814,0.068198145,0.062089054,0.065357577,,,,,,,,,,,0.07923092,0.088710446,0.072355452,0.079667431,0.07005185,0.074625228,0.081320399,0.070552926,0.074631112,0.07084676,,,,,,0.074267719,0.070898193,0.077981033,0.067859374,0.071779028,0.079126836,0.068364491,0.073781731,0.066382926,0.070607506,,,,,,,,,,,0.083532488,0.094602283,0.076863462,0.086261388,0.074876995,0.080561742,0.086484725,0.074721663,0.079870962,0.076514491,,,,,,0.066967306,0.072202392,0.063722142,0.067522007,0.061791599,0.064843431,0.069058094,0.062932668,0.065998759,0.062970084,,,,,,0.077904384,0.06946005,0.072589526,0.069776261,0.069788212,,0.069892585,0.065711843,0.074233057,0.0620185,0.067307342,0.076992014,0.063136191,0.071267435,0.061071481,0.066820163,,,,,,,,,,,0.0800325,0.097481597,0.072501983,0.0838992,0.069227946,0.077433362,0.086140303,0.06977185,0.07830819,0.073766804,,,,,,0.062571439,0.070466973,0.058806745,0.06503828,0.05671231,0.061417715,0.067746783,0.058047888,0.063571294,0.060447848,,,,,,0.077371759,0.064745114,0.070972207,0.067100693,0.068100002,,0.065947004,0.074982274,0.062280771,0.070559519,0.060762691,0.066529999,0.07206413,0.061517847,0.067931662,0.065664407,,,,,,0.082301612,0.06857002,0.075926561,0.072683045,0.073022636,,0.066058665,0.057421268,0.06257726,0.06020314,0.061772585,,0.066720496
6 Human Rights Score,0.018786315,,,,,0.022153688,0.01283022,0.018725024,0.00808284,,,,,,,0.053762757,0.033963987,0.050289105,0.02486788,,,,,,,0.039042644,0.06011807,0.027701886,0.040980752,0.020108504,0.029597554,,,,,0.02200769,0.012139158,0.016797591,0.007726377,,,,,,,0.014218341,0.021115424,0.009121958,0.013266431,0.004271594,0.00789427,,,,,0.037642967,0.057109247,0.027539258,0.037256448,0.018698181,0.026815386,,,,,0.042551343,0.020691565,0.030348561,0.022690111,,0.029680613,0.018555986,0.024741685,0.009776245,,,,,,,0.020197155,0.028754433,0.010612019,0.019885599,0.006014212,0.009832188,,,,,0.044608471,0.066144383,0.028034224,0.045618522,0.02013444,0.027893756,,,,,0.049377915,0.021255304,0.030354016,0.024052672,,0.020505956,0.027969845,0.011589504,0.018121714,0.005802873,0.00864427,,,,,0.020684837,0.006554651,0.010588566,0.006444749,,0.047615087,0.021570802,0.029906308,0.021894128,,0.023435379,0.011908192,0.005022417,0.004983185,-0.001229713,,,,,,,0.007978671,0.011858363,0.001394459,0.005114229,-0.001250228,-0.001672671,,,,,0.027836905,0.051112108,0.01655035,0.02628579,0.009535374,0.014496942,,,,,0.034742529,0.013312243,0.021673804,0.013834188,,0.007438237,0.009631599,0.001230066,0.003314636,-0.001729758,-0.003353534,,,,,0.006991632,-0.000289605,0.000147705,-0.002410068,,0.031248426,0.012207982,0.019189702,0.011025528,,0.014885082,0.01296848,0.016748408,0.002548047,0.009018569,-0.00036318,-0.002187869,,,,,0.012739292,0.000802163,0.001374119,-0.000963123,,0.037876941,0.012694128,0.018870981,0.011860846,,0.015141937,0.011834928,0.001291516,0.000953849,-0.0020872,,3.48E-06,0.014212528
7 Product Responsibility Score,,-0.007661041,,,,0.004334767,,,,-0.002686429,0.001756113,0.003410803,,,,0.01495355,,,,0.002477278,0.014223541,0.008795979,,,,0.016183111,0.032865657,0.021934222,,,,0.019565895,0.014055634,0.023920998,,-0.009117502,,,,-0.015459357,-0.013754463,-0.008768665,,,,-0.004340419,0.000517135,0.00214239,,,,-0.004759569,-0.002630522,0.00102453,,1.48E-05,0.012769075,0.007215541,,,,0.001763162,-0.000112772,0.007517366,,0.016474928,0.011911292,0.02184168,,0.014525263,0.00254683,,,,-0.004371608,-3.55E-05,-0.002899858,,,,0.004631971,0.011817259,0.006500542,,,,0.005561996,0.001743797,0.005915773,,0.011715439,0.027839593,0.011822954,,,,0.016422353,0.005377582,0.013040571,,0.02731816,0.015617536,0.025390147,,0.018641235,-0.007324497,-0.002520092,-0.004814685,,,,-0.007726061,-0.009240859,-0.006804008,,0.002908446,1.07E-06,0.004287476,,0.000371811,0.011111581,0.002431184,0.01045733,,0.004658867,0.015467902,-0.008791699,,,,-0.012426756,-0.016507732,-0.008966111,,,,-0.001775054,-0.001086748,0.002007952,,,,-0.005017329,-0.000420099,-0.001856814,,-0.000299215,0.0107973,0.003954282,,,,-0.001464094,-0.000981854,0.00146285,,0.015087472,0.011479078,0.018354927,,0.011701908,-0.013339162,-0.016021923,-0.00918745,,,,-0.018871874,-0.0112066,-0.015301859,,-0.005879752,-0.001268595,-0.002141909,,-0.004193789,-0.002156212,-0.0017082,0.002031806,,-0.003268842,0.010433778,-0.004617274,-0.005085786,-0.004777748,,,,-0.008607336,-0.006707733,-0.010282765,,0.002834323,0.002248062,0.001966346,,-0.000202907,0.008928043,0.002352968,0.005898424,,0.001432678,0.013658214,-0.009981691,-0.007829065,-0.010364506,,-0.012015016,-0.00115283,2.39E-05
8 Resource Use Score,,,0.070293341,,,,0.076585813,,,0.07928729,,,0.075396339,0.050819873,,,0.110248474,,,0.118437372,,,0.114299947,0.07061353,,0.122522162,,,0.127376759,0.077119926,,0.132880619,0.077599033,,0.08211359,,0.072761267,,,0.077328175,,,0.069510543,0.048485001,,0.079888526,,,0.077526779,0.052322931,,0.080065993,0.053378586,,0.05228667,0.118097713,,,0.117151625,0.072672692,,0.125846065,0.07623398,,0.075512812,0.130221946,0.077751121,,0.08274156,0.083692177,,0.074824036,,,0.079864561,,,0.071946735,0.047119959,,0.081621221,,,0.080509427,0.05158106,,0.083192576,0.052167386,,0.051223555,0.117818474,,,0.118808052,0.069592533,,0.128157579,0.072447913,,0.071630677,0.131362173,0.074937491,,0.080541229,0.080581476,0.079839381,,,0.074441885,0.049223469,,0.079227357,0.051972132,,0.04703474,0.083110477,0.053329156,,0.05305451,0.053855975,0.125081862,0.073641683,,0.074201397,0.077439561,0.080786425,,0.040242177,,,0.04303869,,,0.032315424,0.01612258,,0.050877074,,,0.045895632,0.023945984,,0.04753429,0.023820399,,0.019297205,0.088154111,,,0.085661425,0.041135577,,0.094679511,0.043561639,,0.0400291,0.107539276,0.05208124,,0.054021789,0.054441339,0.046512678,,,0.038553665,0.019978385,,0.041268984,0.021430813,,0.013895498,0.050285492,0.026159601,,0.022615699,0.022867522,0.096837444,0.047190857,,0.045229097,0.048498921,0.055677768,0.047371461,,,0.039606266,0.018045369,,0.043324443,0.019271314,,0.011122312,0.052199919,0.02468253,,0.021354991,0.021230149,0.096331957,0.042596679,,0.040762168,0.043475898,0.05240222,0.046590734,0.022419358,,0.016094082,0.01771654,0.024011547,0.047037833
9 Shareholders Score,,,,0.030526946,,,,0.019345135,,,0.021323534,,0.009235249,,0.0115834,,,0.027212129,,,0.031500418,,0.013305109,,0.018087043,,0.010509132,,-0.003735988,,0.004027435,-0.002396759,,0.003921292,-0.004045648,,,0.023956566,,,0.027977422,,0.014574376,,0.016365505,,0.016240288,,0.005017107,,0.008245296,0.006766768,,0.008901719,0.001911623,,0.018362806,,0.003237159,,0.009811789,0.005978766,,0.011307036,0.002310851,-0.009631001,,-0.002134944,-0.009136858,-0.008992399,,,0.027796106,,,0.030897558,,0.018451811,,0.020079973,,0.016847792,,0.00627698,,0.010096487,0.007463102,,0.010332803,0.003915179,,0.02159016,,0.007217102,,0.014383269,0.008975725,,0.01530635,0.007029312,-0.008777126,,0.000377313,-0.006631174,-0.006602863,,0.023469098,,0.011992032,,0.015065532,0.014552137,,0.016898221,0.009356745,0.003205399,,0.007097147,0.000901609,0.001367304,-0.000472703,,0.007537562,-3.97E-05,0.000883397,-0.011095191,,,0.037257817,,,0.040162688,,0.033660739,,0.031783791,,0.026832605,,0.022118398,,0.022238651,0.023046415,,0.022326747,0.020264927,,0.024562111,,0.019644009,,0.023513679,0.02108846,,0.024304029,0.021443326,0.002280372,,0.008181049,0.007288613,0.006933285,,0.034414153,,0.02822806,,0.027694962,0.030929617,,0.029607241,0.026067043,0.019662281,,0.019806762,0.017734575,0.018041285,0.012501637,,0.016980553,0.014909542,0.015711098,0.00297389,,0.036274856,,0.031387972,,0.03126245,0.033036165,,0.032453451,0.029953706,0.019870493,,0.021201137,0.019652072,0.019612171,0.015084624,,0.021409747,0.019617964,0.019927623,0.00546629,0.027587721,,0.028221188,0.025568536,0.026856691,0.017187087,0.013914783
10 Workforce Score,,,,,0.113551439,,,,0.122605629,,,0.123983955,,0.109253741,0.121645135,,,,0.156992224,,,0.162939852,,0.136641741,0.16016495,,,0.172727186,,0.14736994,0.174907904,,0.15083817,0.179807247,0.151946629,,,,0.116263522,,,0.117831065,,0.103533987,0.114149349,,,0.124745039,,0.110222948,0.123384095,,0.110800121,0.12470561,0.110653078,,,0.163761128,,0.138135122,0.163029407,,0.142177329,0.169657246,0.142023124,,0.149734288,0.177652315,0.150388271,0.15450702,,,,0.119348734,,,0.12226877,,0.106934424,0.11758936,,,0.127743343,,0.11329844,0.126941939,,0.114423147,0.128585665,0.114221342,,,0.163864924,,0.139977461,0.164266516,,0.144935744,0.171213297,0.145353789,,0.150975857,0.177811753,0.153056307,0.156813989,,,0.122533947,,0.107609259,0.119622828,,0.109450274,0.122401275,0.107934414,,0.114133353,0.128435714,0.114082052,0.11537665,,0.143405585,0.16930251,0.143672842,0.149290426,0.152950231,,,,0.095614637,,,0.095510769,,0.089815045,0.089938422,,,0.106677078,,0.09881513,0.104242277,,0.098615164,0.103955202,0.097325272,,,0.138007309,,0.118746151,0.137649384,,0.121052336,0.142636171,0.121236213,,0.133945875,0.159582978,0.135081106,0.137634202,,,0.09950266,,0.092947033,0.096097446,,0.092252374,0.095347907,0.090754966,,0.100225441,0.107027015,0.09961161,0.099127544,,0.12391213,0.146954144,0.124689613,0.127552362,0.137312711,,,0.101802964,,0.095057041,0.097998983,,0.095416671,0.098629829,0.093293505,,0.102608427,0.109713846,0.102497152,0.102302257,,0.1245502,0.145896978,0.126224244,0.129808465,0.1384123,,0.097120769,0.102623444,0.096168568,0.096413859,0.103525684,0.13007274
