Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 CSR Strategy Score,0.50227372,0.323669625,0.671605837,0.50448436,0.579392679,0.421397587,0.91206145,0.259667106,0.851801424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Community Score,0.298411737,,,,,,,,,0.186911266,0.634845302,0.257412095,0.394937012,0.320633894,0.534010281,0.17422477,0.789978409,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 ESG Controversies Score,,0.52533179,,,,,,,,0.462433149,,,,,,,,0.728954212,0.367906855,0.541100312,0.457528104,0.657367451,0.422202443,0.68158979,,,,,,,,,,,,,,,,,,,,,
4 Emissions Score,,,0.037452075,,,,,,,,0.052984836,,,,,,,0.027795075,,,,,,,0.056514508,0.064369114,0.041463551,0.163454656,0.019287048,0.282875435,,,,,,,,,,,,,,,
5 Environmental Innovation Score,,,,0.184520388,,,,,,,,0.160786045,,,,,,,0.100554998,,,,,,0.370444605,,,,,,0.18402515,0.179328509,0.277627576,0.108331859,0.332291672,,,,,,,,,,
6 Human Rights Score,,,,,0.287452993,,,,,,,,0.338307915,,,,,,,0.183574282,,,,,,0.7574545,,,,,0.259061611,,,,,0.256794947,0.565446339,0.15345907,0.724330596,,,,,,
7 Product Responsibility Score,,,,,,0.41262581,,,,,,,,0.537593798,,,,,,,0.284096084,,,,,,0.85852647,,,,,0.473996933,,,,0.48550775,,,,0.705941073,0.264323165,0.744737283,,,
8 Resource Use Score,,,,,,,0.106581974,,,,,,,,0.12547669,,,,,,,0.066823297,,,,,,0.53548776,,,,,0.117127969,,,,0.147486913,,,0.099749389,,,0.051089581,0.521050829,
9 Shareholders Score,,,,,,,,0.806029918,,,,,,,,0.944627021,,,,,,,0.945992649,,,,,,0.734474086,,,,,0.81825208,,,,0.95636955,,,0.916740365,,0.955593196,,0.933722211
10 Workforce Score,,,,,,,,,0.04189097,,,,,,,,0.059743785,,,,,,,0.0277473,,,,,,0.292534088,,,,,0.053465748,,,,0.065007736,,,0.040761533,,0.165359679,0.021059407
