Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 CSR Strategy Score,0.524896434,0.592636132,0.609529491,0.474055586,0.656449885,0.477301906,0.999827763,0.885654392,0.681112685,0.796919274,0.660701373,0.801344755,0.772664937,0.727831651,0.759319406,0.813942171,0.614858922,0.77816307,0.828835818,0.607627836,0.826150871,0.531673772,0.547583671,0.429680478,0.597089605,0.432964033,0.603033244,0.472838484,0.644478694,0.480270739,0.477765443,0.665290885,0.483775725,0.507633362,0.421979567,0.511069291,0.933032395,0.676154957,0.869942962,0.667493405,0.716759704,0.729678723,0.697186419,0.747323368,0.539669256,0.741192915,0.785556335,0.743202416,0.76438933,0.774368295,0.602244314,0.790374467,0.82243592,0.614871584,0.81353452,0.613849484,0.543313398,0.570443004,0.437140462,0.628987713,0.428317826,0.620612414,0.481029848,0.670874111,0.479234031,0.491353329,0.699236328,0.483015481,0.525085988,0.422545925,0.515578884,0.924569102,0.681793434,0.820620221,0.645227385,0.735168187,0.659032804,0.672449854,0.7864724,0.529683095,0.733711564,0.797348421,0.712207687,0.747833734,0.798699873,0.597608556,0.788186347,0.854261367,0.609501798,0.805903205,0.619474066,0.560474609,0.436234033,0.612133144,0.435090826,0.444598825,0.6457629,0.440585462,0.488740373,0.386434662,0.476756951,0.48408285,0.669023496,0.483608334,0.508770187,0.423074254,0.511156203,0.521318495,0.424765664,0.515732015,0.445125408,0.705858229,0.814365768,0.670967647,0.724629489,0.531805019,0.711387728,0.787245063,0.546658362,0.746484885,0.569867099,0.780663938,0.60209888,0.769417865,0.595577441,0.608675626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Community Score,0.584300314,0.635213447,0.610682446,0.679488322,0.584225285,0.841443706,0.46516161,0.408305598,0.523692781,0.34037406,0.747167097,0.539717879,0.59880358,0.443075858,0.81499813,0.571568613,0.412713094,0.82785845,0.513404335,0.822128131,0.756015809,0.64856375,0.595841707,0.689530052,0.601390002,0.843488008,0.666973476,0.722780309,0.644611875,0.872912516,0.693862021,0.613347457,0.866926295,0.69022242,0.888539831,0.853025198,0.531060343,0.618820786,0.47301827,0.821883778,0.560623373,0.405022821,0.802077709,0.535861953,0.827572964,0.765080081,0.658387994,0.548336637,0.88874246,0.620188503,0.875891334,0.834400026,0.587472496,0.875649605,0.843636168,0.843382359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.678289033,0.638839188,0.713401502,0.637690199,0.867161039,0.692480136,0.737366221,0.660975194,0.88466593,0.72245377,0.638509026,0.888867934,0.704401488,0.898908164,0.868545278,0.511393871,0.627345004,0.440185058,0.822022081,0.578128576,0.354603097,0.807893357,0.542003312,0.83469327,0.767996537,0.661479458,0.504915079,0.882212666,0.61516071,0.8727126,0.823783481,0.587431856,0.880655128,0.836163996,0.840042765,0.684105584,0.748748844,0.679632815,0.888790168,0.710503273,0.627705253,0.867783933,0.716382384,0.901143765,0.872922268,0.752212207,0.683311505,0.90495658,0.738140377,0.913427113,0.886134543,0.71601709,0.912376751,0.882846108,0.902025761,0.655712578,0.503278087,0.861138634,0.635013165,0.878449691,0.831462372,0.576171251,0.859017216,0.80874968,0.844484421,0.678233427,0.917141056,0.894604746,0.88729915,0.891361222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 ESG Controversies Score,0.601023578,0.709752162,0.699774836,0.742531869,0.681975554,0.750898863,0.469821067,0.437703175,0.535585111,0.407942448,0.56450924,0.566833715,0.656310451,0.555902473,0.676539295,0.635200155,0.51575467,0.661175849,0.641126181,0.708087309,0.656994833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625907528,0.615181916,0.657529684,0.586113129,0.66279313,0.722511887,0.763181693,0.710400013,0.761942405,0.756398731,0.694996044,0.756699537,0.751329467,0.779427866,0.749060741,0.485160988,0.569536114,0.460838653,0.587547501,0.549543079,0.420491022,0.575533104,0.541182954,0.617574743,0.558952913,0.667617288,0.574669526,0.680538182,0.686101988,0.723882882,0.685065272,0.656879165,0.711948348,0.667154378,0.725698013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636195613,0.630509969,0.661458673,0.589389631,0.683128882,0.726031231,0.756434775,0.698718095,0.770810827,0.754427503,0.691942218,0.769679577,0.728431979,0.78209076,0.746445442,0.469060319,0.572823111,0.438526965,0.605561936,0.556397754,0.390558751,0.595088926,0.531072887,0.634093095,0.564130891,0.663967336,0.542749915,0.690656579,0.664921753,0.730028582,0.681144138,0.643632928,0.721949017,0.667899368,0.715542673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.649228641,0.678120396,0.608604412,0.690449872,0.675959493,0.599503444,0.690547048,0.635142624,0.699528086,0.653019532,0.769135787,0.713339683,0.775644446,0.748514809,0.788029305,0.754308774,0.74355881,0.787017196,0.753166426,0.765672596,0.586198522,0.455068162,0.61409908,0.568425346,0.646948058,0.586801233,0.547989463,0.641764206,0.575813197,0.616037067,0.681201685,0.732669217,0.689386939,0.731006225,0.72167064,,,,,,,,,,,,,,,,,,,,,
4 Emissions Score,0.118921603,0.097305623,0.084251208,0.157599385,0.072996334,0.231197056,,,,,,,,,,,,,,,,0.124002003,0.099667329,0.190152133,0.096458699,0.265193751,0.09542704,0.165461689,0.084897762,0.23452153,0.150484957,0.07070851,0.229568871,0.146038612,0.280079545,0.215170284,,,,,,,,,,,,,,,,,,,,,0.120792425,0.096426436,0.182614994,0.082705022,0.280518083,0.096085529,0.160735144,0.076622466,0.24351901,0.146951383,0.064665346,0.242392555,0.132362798,0.286532779,0.220111373,,,,,,,,,,,,,,,,,,,,,0.112641074,0.19382049,0.100525055,0.27816405,0.168239885,0.076273711,0.26266292,0.160944257,0.322357529,0.252392903,0.161067405,0.084042152,0.245489929,0.153802,0.289007992,0.229868293,0.137777988,0.283985102,0.226019139,0.278093086,,,,,,,,,,,,,,,,0.195431417,0.157408912,0.301036272,0.141971455,0.418714508,0.123846427,0.23842627,0.101635501,0.337564709,0.221979936,0.079891375,0.335857105,0.20250337,0.395534037,0.303214108,,,,,,,,,,,,,,,,,,,,,0.161714194,0.291710864,0.145145667,0.396057551,0.264521624,0.107370274,0.37830334,0.24729045,0.448924853,0.356804553,0.228087783,0.09936884,0.331612202,0.213745321,0.389171927,0.303800584,0.194963204,0.385973576,0.298303649,0.36399043,,,,,,,,,,,,,,,,0.167354656,0.294470478,0.137129406,0.422547202,0.264478425,0.097085338,0.408335874,0.234854962,0.469183911,0.377122541,0.229783388,0.096750369,0.35008839,0.205617238,0.399914691,0.313559476,0.187806478,0.399979093,0.313080854,0.369398405,,,,,,,,,,,,,,,,0.270870221,0.123183605,0.392042463,0.248124041,0.4522452,0.363764346,0.216135702,0.43953935,0.344273472,0.412713379,0.20899191,0.394363931,0.315402763,0.370696966,0.367985705,,,,,,
5 Environmental Innovation Score,0.313918759,,,,,,0.200157322,0.203566774,0.243635256,0.166431419,0.282192023,,,,,,,,,,,0.349787916,0.344680845,0.370229579,0.330551736,0.3918217,,,,,,,,,,,0.25035088,0.283684343,0.220611919,0.320581578,0.282932467,0.222079622,0.330506032,0.273432871,0.340198818,0.307645457,,,,,,,,,,,0.319572607,0.323484889,0.342078472,0.293864984,0.364103149,,,,,,,,,,,0.226250864,0.253474142,0.183285216,0.291911707,0.260245434,0.192935342,0.304867248,0.236826906,0.312074965,0.274858652,,,,,,,,,,,0.35639347,0.373369767,0.335677007,0.394739912,0.37094704,0.335144129,0.395063977,0.363080918,0.404626273,0.383484106,,,,,,,,,,,0.297917213,0.2505009,0.339582598,0.286460479,0.345534384,0.318934894,0.293950969,0.35200139,0.332379296,0.345059267,,,,,,0.355279934,0.349628729,0.37850351,0.320089636,0.406405538,,,,,,,,,,,0.209660332,0.277708247,0.17401884,0.320101856,0.273797265,0.163726691,0.325872758,0.251049072,0.347237027,0.290927148,,,,,,,,,,,0.38254672,0.410163785,0.359253114,0.435802197,0.401809944,0.346931024,0.431598743,0.383330591,0.444364571,0.410839632,,,,,,,,,,,0.312908068,0.226862962,0.361580874,0.300048148,0.380381363,0.335210019,0.294900279,0.382361515,0.340006008,0.364394368,,,,,,0.360123727,0.382004181,0.32350887,0.408715832,0.380791849,0.320007062,0.408522735,0.349151971,0.417212432,0.378443724,,,,,,,,,,,0.290155552,0.199705473,0.337574042,0.265642746,0.353058766,0.303332845,0.268199793,0.3582849,0.311672181,0.331347304,,,,,,0.409980404,0.359524933,0.436275418,0.386988325,0.445767937,0.41260064,0.381107498,0.442593437,0.407449039,0.421453307,,,,,,0.316397536,0.389009451,0.353581988,0.371052823,0.375341248,
6 Human Rights Score,,0.812897335,,,,,0.545500311,,,,,0.505535527,0.667141761,0.491470568,0.748345415,,,,,,,0.821223798,,,,,0.801159148,0.883914204,0.825520694,0.922759016,,,,,,,0.515775997,0.688576981,0.528727205,0.763028988,,,,,,,0.659749758,0.482200119,0.750401995,0.642514178,0.819588788,0.731607004,,,,,0.743727156,,,,,0.734700816,0.824728517,0.745609048,0.903098461,,,,,,,0.439096634,0.61053827,0.420109018,0.744296305,,,,,,,0.59819149,0.403757552,0.744362752,0.558071649,0.802166726,0.710513685,,,,,0.732096075,0.832752666,0.765607423,0.906471381,,,,,,,0.822846142,0.743171506,0.902654689,0.823594759,0.944757822,0.90703202,,,,,0.605006721,0.417774452,0.740662476,0.590304989,0.814288634,0.73365944,,,,,0.576230247,0.810550175,0.726724428,0.785963589,,0.904381552,,,,,0.867289494,0.934376236,0.901146144,0.987108222,,,,,,,0.549706818,0.76517415,0.553211037,0.85421394,,,,,,,0.709427835,0.443269601,0.811301856,0.698191922,0.879645201,0.795954555,,,,,0.876367136,0.943051745,0.925086959,0.994863731,,,,,,,0.92367666,0.879808274,0.977962475,0.943825523,0.997042015,0.999756127,,,,,0.732501221,0.490468505,0.826124362,0.738304373,0.898303835,0.833913218,,,,,0.686404065,0.874120399,0.790623078,0.867854536,,0.815525335,0.893527997,0.860259925,0.983280832,,,,,,,0.877017256,0.814392492,0.968809479,0.889346035,0.991257062,0.986395397,,,,,0.673388358,0.40104416,0.825588668,0.661982379,0.888340473,0.825762619,,,,,0.624197867,0.869819282,0.78932613,0.854296307,,0.878870456,0.829215325,0.966521407,0.907253156,0.995753945,0.998653643,,,,,0.882317358,0.98764526,0.977306731,0.999119991,,0.646754737,0.87494913,0.803868116,0.878108714,,0.858771088
7 Product Responsibility Score,,,0.947772494,,,,,0.810785358,,,,0.689338062,,,,0.825300739,0.652679464,0.774318424,,,,,0.929321935,,,,0.968960642,,,,0.966356433,0.987482753,0.975511716,,,,0.853048423,,,,0.975454407,0.839458605,0.91103342,,,,0.861251273,0.700847953,0.802694482,,,,0.824994679,0.877722652,0.778831925,,,0.942897055,,,,0.864819688,,,,0.938962002,0.86205995,0.92831719,,,,0.70804502,,,,0.835184331,0.63839087,0.851308845,,,,0.753963538,0.557717134,0.760296212,,,,0.68752804,0.830418501,0.72445323,,0.983994225,,,,0.949363007,0.998227062,0.965577976,,,,0.969174875,0.897980319,0.949507175,,,,0.957158549,0.994817423,0.95127777,,0.897087173,0.726526955,0.890439223,,,,0.841785129,0.955067757,0.866858303,,0.755349959,0.864727708,0.766513182,,0.83166657,,0.92706013,,,,0.968318626,,,,0.987118244,0.995539367,0.980867125,,,,0.864683936,,,,0.984042446,0.840956367,0.948006915,,,,0.860957076,0.667120016,0.821692827,,,,0.837571287,0.885840995,0.80911588,,0.918244898,,,,0.883382948,0.861563837,0.917620725,,,,0.974597667,0.986521624,0.988359574,,,,0.949317337,0.988387373,0.980701746,,0.997262963,0.869235006,0.956546307,,,,0.999762904,0.992132639,0.964590227,,0.866523987,0.901763766,0.828817483,,0.895343965,0.989443977,,,,0.968119903,0.969656155,0.957566597,,,,0.951299878,0.915120457,0.95378917,,,,0.963449038,0.978333882,0.98030918,,0.901701994,0.71559813,0.918264175,,,,0.867185917,0.964439659,0.916997999,,0.764135937,0.867886058,0.791780498,,0.854812155,0.946817004,0.953145206,0.947969317,,,,0.917162679,0.928305413,0.904764416,,0.983730456,0.990287839,0.989178879,,0.989276529,0.915522614,0.98468365,0.936288285,,0.985245997,0.88020509
8 Resource Use Score,,,,0.480118343,,,,,0.258221344,,,,0.240172577,,,0.216588194,,,0.201522308,0.472532713,,,,0.500954519,,,,0.481925983,,,0.463730654,,,0.488071248,0.646883031,,,0.270922451,,,0.230073177,,,0.239510399,0.497162253,,0.240050207,,,0.2202031,0.479943812,,0.194557134,0.475395239,,0.448418496,,,0.472666068,,,,0.459967052,,,0.442942637,,,0.456732139,0.64842804,,,0.254386637,,,0.214416649,,,0.20621597,0.509639814,,0.233853737,,,0.197301475,0.48837615,,0.175609532,0.490037328,,0.455042322,,0.481897698,,,0.449941853,,,0.490554787,0.662547722,,0.456769359,,,0.46418325,0.645830531,,0.446351644,0.641037742,,0.646746535,0.247153269,,,0.235362481,0.512727661,,0.193287859,0.49434048,,0.490380537,0.210606973,0.497268498,,0.464336674,0.462088997,,,0.696830239,,,,0.636694433,,,0.622106496,,,0.660973144,0.830527733,,,0.361358058,,,0.30023446,,,0.304713978,0.678249774,,0.267347713,,,0.239636229,0.605845095,,0.195295065,0.60322226,,0.581454065,,0.676179624,,,0.651081791,,,0.713811565,0.858861058,,0.617701042,,,0.645881449,0.816380173,,0.629464679,0.815133287,,0.842063022,0.314819976,,,0.312217633,0.658941435,,0.243876579,0.636111819,,0.645941928,0.235245818,0.603328503,,0.583416469,0.575172064,,0.66090328,,,0.631251282,,,0.690872154,0.870666458,,0.603867159,,,0.62084626,0.822078257,,0.602543757,0.824187592,,0.849048488,0.313727539,,,0.290578662,0.684499813,,0.216679744,0.666766756,,0.672688309,0.2238311,0.624615463,,0.59696708,0.596016352,0.630541423,,,0.67328317,0.850069087,,0.64048551,0.838953932,,0.887477716,0.60608408,0.812456839,,0.831903053,0.830431284,0.267774091,0.655188379,,0.656807897,0.631872572,0.600546579
9 Shareholders Score,,,,,0.771244197,,,,,0.65282248,,,,0.848166878,,,0.824139439,,0.994927761,,0.926739194,,,,0.726126667,,,,0.827071141,,,0.804475801,,0.934672458,,0.903013167,,,0.789359588,,,0.74756321,,0.935445394,,0.868358429,,0.940320702,,0.915306287,,0.996253441,0.928656919,,0.996845907,0.920131384,,,,0.678227697,,,,0.807488733,,,0.791100476,,0.916168733,,0.881844707,,,0.738606893,,,0.707683255,,0.889000396,,0.820181482,,0.927475067,,0.92956777,,0.969154422,0.938079937,,0.971856514,0.946738399,,,0.757513857,,,0.725542147,,0.858503907,,0.830668212,,0.851489384,,0.963494939,,0.918958901,0.950095897,,0.914983674,0.985194722,,0.847821525,,0.993638945,,0.906712999,0.977143306,,0.897386234,0.985599488,0.867730104,,0.967815812,0.895847188,0.896201769,,,,0.606437433,,,,0.716035942,,,0.705051015,,0.760490184,,0.761953742,,,0.726559481,,,0.708511609,,0.777031068,,0.738207543,,0.949339258,,0.962982464,,0.893219933,0.964424667,,0.900239321,0.913867654,,,0.661042525,,,0.633386649,,0.69991271,,0.707368755,,0.747071111,,0.796117835,,0.788706302,0.78560335,,0.787082829,0.810302585,,0.833090538,,0.866533775,,0.812932579,0.854906731,,0.807619109,0.832723967,0.976552198,,0.952741358,0.958279068,0.962417108,,,0.629869083,,,0.612223445,,0.667216603,,0.67240367,,0.744538864,,0.785564068,,0.770060295,0.781425197,,0.772045608,0.789994667,,0.804270526,,0.830280352,,0.764196298,0.831647141,,0.763652349,0.784744634,0.981978325,,0.923221104,0.93133611,0.936376279,,0.671220688,,0.720898978,,0.713454052,0.7046749,,0.701741469,0.729941156,0.816121783,,0.797942164,0.815793616,0.815342486,0.909448985,,0.832510385,0.848062892,0.845592079,0.975382543
10 Workforce Score,,,,,,0.297306119,,,,,0.135651252,,,,0.117613345,,,0.099620866,,0.196617938,0.094795155,,,,,0.322672893,,,,0.299287815,,,0.287600684,,0.369711904,0.297874361,,,,0.143266923,,,0.117366511,,0.22674645,0.120982631,,,0.113456059,,0.207009996,0.107881313,,0.188775437,0.088992066,0.185323199,,,,,0.282477951,,,,0.267391922,,,0.252538593,,0.335848357,0.2572992,,,,0.121562295,,,0.095196215,,0.194151012,0.089629287,,,0.100133633,,0.183209666,0.086025558,,0.164322488,0.069823855,0.152373508,,,,0.292177933,,,0.270460383,,0.360478471,0.286703246,,,0.265579598,,0.344310078,0.267958756,,0.332743823,0.252724018,0.332931749,,,0.116121911,,0.212283199,0.110355661,,0.18530365,0.083486053,0.180835821,,0.184402048,0.091820194,0.177402117,0.156680554,,,,,0.416329235,,,,0.367617675,,,0.359865838,,0.423372364,0.375219753,,,,0.19199331,,,0.157138589,,0.295003847,0.156316301,,,0.128606391,,0.249679489,0.116970237,,0.23160939,0.091275536,0.226600478,,,,0.401646348,,,0.393624394,,0.452006202,0.416259597,,,0.35704508,,0.418733547,0.366310341,,0.415773992,0.359594861,0.420227889,,,0.164355913,,0.290956373,0.16051068,,0.270192382,0.123227746,0.268021683,,0.240219175,0.112352529,0.237698167,0.217835848,,,,0.373875606,,,0.357291578,,0.422880447,0.38087993,,,0.330011018,,0.392691614,0.33327875,,0.386024912,0.322152291,0.387513871,,,0.150778148,,0.269504282,0.136661915,,0.242853695,0.097254698,0.233511422,,0.222503622,0.098040148,0.212042359,0.191353524,,,0.358511216,,0.420937135,0.372001052,,0.411472647,0.355322111,0.419122317,,0.389384424,0.326693977,0.389235857,0.382389748,,0.255876133,0.125168986,0.249591647,0.220490907,0.214514498
