1 CSR Strategy Score,0.513749469,0.526648288,0.421992788,0.580584059,0.421673633,0.593260633,0.470717162,0.63977186,0.475734179,0.475183572,0.657185628,0.478296691,0.511291985,0.420851486,0.50973551,0.98750753,0.647697981,0.935875257,0.633392594,0.681730103,0.82034172,0.656785456,0.731563019,0.521591411,0.710357364,0.768800061,0.780386096,0.743231604,0.773099967,0.594412609,0.779747065,0.816214092,0.605031055,0.797374259,0.614876531,0.532934638,0.427117683,0.584234171,0.432014099,0.427929179,0.602791864,0.43472263,0.475839494,0.38490472,0.471314445,0.473652852,0.645733178,0.481505727,0.502337012,0.42276356,0.509169064,0.509559118,0.423220425,0.512642251,0.444726357,0.677142891,0.886642446,0.665229489,0.701346524,0.529123596,0.703715724,0.747645684,0.541018893,0.735987357,0.565458494,0.766267955,0.601123754,0.768591662,0.595674913,0.607935271,0.544214589,0.430525525,0.602287701,0.425977204,0.438229047,0.631148289,0.43040795,0.491411971,0.382202805,0.472102422,0.482790107,0.665327023,0.479533653,0.513742842,0.422622671,0.511758505,0.525337759,0.424146472,0.514832471,0.44975893,0.679589847,0.870555978,0.63921896,0.718399759,0.517299426,0.691844155,0.774538513,0.529938947,0.72047746,0.567622772,0.780122991,0.594616086,0.759779562,0.598697893,0.609895259,0.436656797,0.615073957,0.436965389,0.479602012,0.386772343,0.474545837,0.491428714,0.386835537,0.48168488,0.423017997,0.509776157,0.424613195,0.511369984,0.444797259,0.446646403,0.71975907,0.532886709,0.703646313,0.552999439,0.569532775,0.590002769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Community Score,0.63129482,0.583991606,0.672336968,0.587855591,0.822935562,0.656947498,0.709603319,0.63098653,0.857751229,0.684857628,0.604721135,0.855326733,0.677349844,0.874718986,0.838000799,0.51703846,0.59936981,0.459390192,0.795533812,0.547513434,0.399589632,0.779223014,0.519830243,0.804075995,0.740833163,0.645676124,0.535323804,0.870880653,0.603587982,0.857649378,0.813338862,0.575854005,0.86105047,0.825830258,0.825550329,0.64167508,0.718139274,0.644075616,0.859066298,0.667380995,0.58731663,0.82881307,0.6861456,0.874439364,0.839008283,0.72265469,0.658703924,0.881988774,0.721307468,0.897161942,0.868985301,0.691179346,0.88652098,0.861301751,0.888080684,0.63202523,0.521615262,0.84480758,0.618733475,0.860529218,0.816878416,0.558899178,0.833876569,0.794193247,0.827057393,0.669366655,0.905968018,0.891453297,0.883135324,0.883978754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.670856773,0.730138747,0.66100576,0.868222617,0.696749691,0.615200218,0.85101329,0.695806503,0.881083327,0.850609639,0.741937138,0.6713951,0.892996775,0.721996642,0.899079233,0.868931102,0.704251928,0.901475062,0.869356996,0.885704205,0.639782923,0.490645667,0.837869782,0.611165459,0.854152269,0.802557343,0.558708842,0.838727975,0.782856999,0.817313936,0.662114663,0.90179073,0.874125092,0.86680201,0.874209418,0.729224066,0.656577936,0.87201895,0.730295181,0.900523282,0.870355802,0.68541945,0.879168352,0.840947524,0.885246516,0.7345524,0.913488939,0.885392923,0.900366288,0.895981869,0.644204641,0.87881828,0.843074154,0.866257264,0.842964741,0.914639252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 ESG Controversies Score,0.610083421,0.602398803,0.642422187,0.573352014,0.654498345,0.709710686,0.747271523,0.692566997,0.754384816,0.744303644,0.682806302,0.750969363,0.734443875,0.772904777,0.740866378,0.473382897,0.55332558,0.44783103,0.578230804,0.53697437,0.414651537,0.567036661,0.524834908,0.60868164,0.548498903,0.65441415,0.560296064,0.675347013,0.664687925,0.716427405,0.675047701,0.641617499,0.706523783,0.659991999,0.716255076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.626659161,0.662701419,0.59889986,0.666225988,0.659724719,0.58731535,0.664379924,0.638347281,0.683441214,0.643002891,0.762119312,0.708639309,0.76033553,0.758214752,0.781154646,0.753215592,0.750531463,0.779600497,0.748530971,0.777012084,0.569526251,0.468205517,0.58825973,0.565676963,0.624741031,0.574897574,0.543932451,0.618096678,0.562585716,0.613086563,0.681371282,0.719453095,0.682931441,0.735099173,0.722635955,,,,,,,,,,,,,,,,,,,,,,0.637769938,0.664416358,0.594487114,0.683975741,0.664105853,0.588322034,0.684392611,0.620303067,0.693746718,0.646082163,0.757936809,0.699763848,0.771113429,0.731585839,0.782556269,0.746874662,0.730197331,0.78303244,0.747395262,0.759320429,0.574052035,0.444597583,0.60732406,0.54970662,0.639817796,0.577070867,0.532246337,0.635157987,0.566368072,0.606706782,0.664886964,0.728598308,0.683342494,0.723029737,0.715736344,,,,,,,,,,,,,,,,,,,,,,0.680493494,0.609736353,0.692434821,0.639443042,0.700455942,0.653624499,0.6369384,0.70235097,0.654033118,0.662264248,0.748510861,0.787921702,0.754651111,0.766270595,0.766624198,0.569906475,0.647695681,0.588953877,0.622225932,0.617207882,0.728355584,,,,,,,
4 Emissions Score,0.148081285,0.123966296,0.214658453,0.122726569,0.293401478,0.108547622,0.177508249,0.096571468,0.248957621,0.164009733,0.083628728,0.246302763,0.157420528,0.293559092,0.230154048,,,,,,,,,,,,,,,,,,,,,0.127114795,0.211389719,0.12275743,0.283612883,0.187818903,0.098596231,0.267217579,0.18774206,0.329482677,0.262753137,0.1699539,0.094089923,0.24654748,0.16759295,0.292185916,0.234022555,0.151815798,0.286367978,0.228810092,0.283572102,,,,,,,,,,,,,,,,0.133340239,0.213665696,0.120083319,0.302700109,0.189123098,0.095911632,0.289190104,0.179384364,0.34502271,0.277939662,0.17262157,0.094701004,0.260747773,0.162199813,0.30089376,0.242175758,0.147923283,0.297932141,0.240890369,0.28846592,,,,,,,,,,,,,,,,0.196512766,0.10964988,0.282956094,0.192055983,0.336942404,0.27433596,0.165736181,0.321824569,0.257909421,0.320291035,0.16521894,0.296866748,0.245740341,0.294229946,0.289060449,,,,,,,0.199444015,0.32297577,0.180188602,0.432402667,0.298298055,0.143837215,0.418043319,0.276218136,0.479650831,0.394808314,0.245118889,0.115382305,0.352666632,0.225778959,0.404592256,0.320453727,0.209446084,0.403864031,0.318355707,0.376920342,,,,,,,,,,,,,,,,0.288435443,0.145982598,0.39500972,0.269307852,0.456771684,0.370730175,0.241179011,0.444192196,0.350733398,0.420370589,0.21879436,0.395535495,0.316149034,0.373518884,0.369949579,,,,,,,0.298757545,0.150486815,0.426712538,0.269059041,0.479071144,0.39370594,0.239384849,0.468866828,0.377588493,0.435693613,0.22014913,0.410536718,0.332172452,0.381105295,0.381061025,,,,,,,0.24930388,0.450560079,0.362979445,0.422339905,0.407709961,0.37903892,
5 Environmental Innovation Score,0.31948475,0.314693206,0.341143913,0.296259784,0.362637598,,,,,,,,,,,0.22050872,0.254829181,0.1893968,0.290687001,0.253643516,0.188780974,0.299221836,0.240053762,0.310942132,0.273684539,,,,,,,,,,,0.348830906,0.373315791,0.336688623,0.394258376,0.363399952,0.32622133,0.390452701,0.363030326,0.404282804,0.382758637,,,,,,,,,,,0.291722069,0.242713255,0.336152345,0.287234046,0.3452773,0.317999728,0.284896112,0.34810576,0.326432717,0.344181095,,,,,,0.328082224,0.346180282,0.303075701,0.366784032,0.344499379,0.302124772,0.367662312,0.331492669,0.377618765,0.351559992,,,,,,,,,,,0.269984937,0.216810228,0.309967993,0.254835464,0.317465638,0.286056174,0.260401039,0.323739603,0.297563433,0.312699254,,,,,,0.373179586,0.341321636,0.39652289,0.368249061,0.406477044,0.386655034,0.363151518,0.402237658,0.384214814,0.401196753,,,,,,0.305726205,0.354839775,0.338952806,0.351765949,0.358279447,,0.354495912,0.381268836,0.324762067,0.407941091,0.37417168,0.313473724,0.404601463,0.347984453,0.416457124,0.377432079,,,,,,,,,,,0.285595285,0.196609908,0.333876636,0.265748739,0.352285183,0.301858921,0.260226645,0.354431708,0.305392827,0.329597511,,,,,,0.404367274,0.351916023,0.433296034,0.386036748,0.44570286,0.411914837,0.372647115,0.4397779,0.402601198,0.420864107,,,,,,0.307907503,0.386543768,0.349076339,0.370069983,0.370617645,,0.383799664,0.327024376,0.410295839,0.353473768,0.41874172,0.379893537,0.348570577,0.416812068,0.375785822,0.388173955,,,,,,0.283024757,0.362219578,0.320154893,0.337385674,0.341549074,,0.384502479,0.444075692,0.409192742,0.422766748,0.416180584,,0.379458688
6 Human Rights Score,0.843285055,,,,,0.816524899,0.893874979,0.845904493,0.932891799,,,,,,,0.562581878,0.718779254,0.590205372,0.791930529,,,,,,,0.680705409,0.521845707,0.770518506,0.666193438,0.833244993,0.755815196,,,,,0.81709935,0.899291212,0.861132415,0.935676501,,,,,,,0.882562588,0.826443997,0.924409037,0.890966725,0.964702345,0.934972989,,,,,0.690390269,0.540757473,0.770981736,0.693939704,0.844334174,0.777380967,,,,,0.654488142,0.828874297,0.750244056,0.812777843,,0.749463593,0.842884909,0.790743548,0.9171126,,,,,,,0.830514613,0.75969316,0.910839005,0.833187635,0.949467079,0.917491723,,,,,0.628992883,0.465020341,0.763660513,0.619181516,0.829475585,0.7638514,,,,,0.594817636,0.821942004,0.746567857,0.798094941,,0.827508638,0.765259541,0.902419513,0.84742652,0.951136586,0.927250321,,,,,0.827214868,0.945176407,0.911527301,0.946115945,,0.606690192,0.818808911,0.749268894,0.815409107,,0.804348852,0.899881437,0.958237116,0.95826347,0.989731916,,,,,,,0.933901002,0.901082577,0.988400953,0.957740719,0.989671966,0.98613709,,,,,0.766399113,0.569001115,0.859402271,0.778764893,0.91992182,0.876366479,,,,,0.711331167,0.888893059,0.817022079,0.884343805,,0.938213844,0.919330079,0.989742456,0.972536575,0.985682188,0.972143483,,,,,0.942234046,0.997609588,0.998775936,0.980159526,,0.738453485,0.897772967,0.837122465,0.907497296,,0.875836458,0.890208692,0.856265367,0.97842344,0.923400151,0.996940275,0.981445283,,,,,0.892624626,0.993284889,0.988426126,0.991925257,,0.677557637,0.892196511,0.837220464,0.898556064,,0.871900349,0.899953031,0.989167092,0.991944819,0.982468861,,0.999970953,0.879375208
7 Product Responsibility Score,,0.930975594,,,,0.960675579,,,,0.975757325,0.98422524,0.968888428,,,,0.864546611,,,,0.977642815,0.872415687,0.919414979,,,,0.853786572,0.707083372,0.799508856,,,,0.824227961,0.871911309,0.782839523,,0.918115099,,,,0.862233071,0.878425252,0.920853104,,,,0.960871754,0.995360607,0.980494362,,,,0.957430324,0.976195895,0.990769126,,0.999866739,0.885832578,0.934210971,,,,0.984257281,0.998978956,0.932101817,,0.852056909,0.891652184,0.802116877,,0.868513648,0.976261209,,,,0.959466044,0.999671483,0.972786873,,,,0.957011981,0.890433354,0.939016443,,,,0.948470553,0.983705457,0.944701677,,0.891213412,0.743159738,0.888623899,,,,0.847620714,0.949520562,0.877303459,,0.748539957,0.854028587,0.76287776,,0.82558073,0.932481748,0.976812071,0.955123643,,,,0.92913287,0.91433485,0.937076972,,0.973138618,0.999990047,0.960086952,,0.99654615,0.89749381,0.977341668,0.90240938,,0.956589707,0.855871371,0.921075516,,,,0.889165649,0.854238333,0.919192027,,,,0.98402115,0.990241429,0.981747974,,,,0.955177291,0.996206484,0.983264663,,0.997307716,0.902463272,0.963836383,,,,0.986896009,0.991113812,0.986677765,,0.864067474,0.89560766,0.831861932,,0.893706374,0.881248419,0.858714593,0.917407116,,,,0.834420966,0.899894977,0.86460192,,0.94752212,0.988553945,0.98072613,,0.962464963,0.980764348,0.984593395,0.981589081,,0.970676157,0.905476566,0.957476116,0.953143539,0.955540972,,,,0.921123668,0.937897133,0.904967662,,0.973865193,0.979129525,0.981688424,,0.9981189,0.917331744,0.978084359,0.944480778,,0.98662101,0.87248665,0.90898825,0.92784554,0.904739164,,0.890008838,0.989346851,0.999778653
8 Resource Use Score,,,0.53025628,,,,0.498775601,,,0.483005967,,,0.513989759,0.661542566,,,0.308599628,,,0.270554614,,,0.294573336,0.532138172,,0.264328215,,,0.247618716,0.500060259,,0.225508015,0.499003078,,0.476375665,,0.519291834,,,0.491923562,,,0.546072129,0.675298497,,0.482927787,,,0.503187655,0.653811076,,0.488282741,0.647972638,,0.659288906,0.27935304,,,0.286672172,0.523867438,,0.248051669,0.504412851,,0.511174005,0.239833103,0.501232959,,0.475060987,0.470836528,,0.50446477,,,0.475170821,,,0.527802261,0.68317734,,0.472297969,,,0.48387142,0.658093304,,0.468915035,0.655581852,,0.665234554,0.279377749,,,0.275582438,0.541532048,,0.235877085,0.526509473,,0.532815974,0.234575401,0.517738106,,0.487043143,0.48860894,0.480299312,,,0.516448411,0.672004769,,0.488342251,0.655571299,,0.69029043,0.472053322,0.650029161,,0.654962113,0.650719894,0.255272956,0.523133253,,0.520898477,0.503435136,0.489611199,,0.709053596,,,0.68739959,,,0.764629102,0.88500168,,0.63865945,,,0.672586053,0.831229838,,0.659408636,0.832068272,,0.863768414,0.371392521,,,0.378278434,0.700874766,,0.315628246,0.682879975,,0.704113661,0.269478752,0.630547808,,0.612418223,0.608872827,0.666949342,,,0.722573076,0.858687113,,0.701302539,0.848253361,,0.901550988,0.643780619,0.816966864,,0.841348922,0.839379111,0.320134474,0.662093809,,0.671785513,0.6474743,0.605708882,0.659716743,,,0.712710936,0.872103838,,0.684143159,0.86341037,,0.920921409,0.629379892,0.827306989,,0.849911397,0.850769703,0.320066858,0.694421531,,0.702937475,0.682951041,0.62834026,0.666024939,0.842514125,,0.886499278,0.874879333,0.832441248,0.663071423
9 Shareholders Score,,,,0.68251157,,,,0.797101321,,,0.77713258,,0.904081895,,0.876917328,,,0.720529714,,,0.680196939,,0.863472624,,0.810535133,,0.890803781,,0.961373956,,0.957495405,0.975260911,,0.958729192,0.957802783,,,0.749705565,,,0.710783798,,0.848907082,,0.826614255,,0.830268641,,0.94781062,,0.912517987,0.929816317,,0.905975105,0.979961043,,0.810600106,,0.966460392,,0.896538635,0.938427079,,0.881689464,0.975861164,0.900398677,,0.977511051,0.904485748,0.906233831,,,0.713058577,,,0.683754467,,0.810964483,,0.789395355,,0.824507383,,0.935087597,,0.893408998,0.922928888,,0.89117337,0.959194517,,0.779106851,,0.925940709,,0.849742365,0.908298842,,0.840965908,0.927277784,0.909496081,,0.996032177,0.930971557,0.931333151,,0.75771621,,0.876148433,,0.841367015,0.850588074,,0.823378402,0.902582027,0.966809446,,0.925236549,0.990583165,0.985750777,0.995122205,,0.921035841,0.999585799,0.990821008,0.8842865,,,0.615600453,,,0.590782811,,0.652691233,,0.666828806,,0.718370548,,0.766217094,,0.762638948,0.757628138,,0.762858582,0.784054637,,0.742806046,,0.791398287,,0.749855572,0.777899333,,0.743530066,0.771658912,0.97520943,,0.910930233,0.920332533,0.92443182,,0.645009271,,0.704602338,,0.707093765,0.680173256,,0.690572752,0.724840619,0.791839023,,0.788830947,0.809920853,0.807680227,0.865626174,,0.817543049,0.838391368,0.830942869,0.967292814,,0.628549284,,0.675583556,,0.673300726,0.661330465,,0.663665512,0.688074639,0.790003345,,0.774496582,0.790675515,0.791709055,0.839027681,,0.772217724,0.79018337,0.787822891,0.940115774,0.712832437,,0.704257192,0.730275367,0.718966553,0.816320616,0.849296118
10 Workforce Score,,,,,0.34267449,,,,0.309988598,,,0.299469361,,0.378507469,0.312687299,,,,0.165981531,,,0.141123583,,0.248345729,0.150341055,,,0.126178924,,0.218042018,0.121367058,,0.201116247,0.103687716,0.197680927,,,,0.335485158,,,0.323712652,,0.403699743,0.343345695,,,0.301041673,,0.377059464,0.308956595,,0.371508117,0.299447918,0.373060059,,,0.147150176,,0.248668529,0.149747218,,0.228386867,0.1248283,0.229136141,,0.210171912,0.114963735,0.208012893,0.189432959,,,,0.304958625,,,0.2848478,,0.370532544,0.305954204,,,0.273466873,,0.349415458,0.277116444,,0.338820859,0.26358205,0.339609316,,,0.132580197,,0.226340276,0.128791952,,0.200867056,0.102448806,0.197059074,,0.192769819,0.101747756,0.184647459,0.165519504,,,0.293119961,,0.37400078,0.306011774,,0.359841324,0.286921001,0.366856737,,0.346259237,0.272225905,0.346383843,0.335221267,,0.216107965,0.11931239,0.213759096,0.186800571,0.18661391,,,,0.422893824,,,0.417126082,,0.468069389,0.447071128,,,0.369462651,,0.427256018,0.381378971,,0.42494345,0.376624867,0.431194031,,,0.196986313,,0.314640555,0.196055346,,0.296612378,0.161841786,0.29554876,,0.2536,0.129124903,0.249787468,0.231955878,,,0.403058536,,0.455368852,0.420447811,,0.455694932,0.418156702,0.463142098,,0.420510808,0.367757453,0.423272332,0.422364521,,0.292424311,0.164711756,0.28957492,0.269290783,0.241585749,,,0.374516414,,0.430895725,0.392009062,,0.422743541,0.378438155,0.432658669,,0.395193954,0.337639406,0.39521852,0.389700457,,0.273907166,0.149833825,0.26612281,0.23963034,0.223184274,,0.421065993,0.370266752,0.425308512,0.417628063,0.390830668,0.25313146
